admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
UTTAR PRADESH,18336.30859375,0.19813397526741028,92545,0.20061539113521576,38550.2551875
RAJASTHAN,14232.1025390625,0.1981055736541748,71841,0.20085880160331726,29921.572378125
MAHARASHTRA,11685.640625,0.2094651311635971,55788,0.2114221751689911,24567.89085
TELANGANA,7046.6796875,0.2113391011953354,33343,0.21236059069633484,14814.939375
TAMIL NADU,5471.76171875,0.2176862508058548,25136,0.2186754196882248,11503.831837499998
KARNATAKA,3681.724609375,0.2127426713705063,17306,0.2150634080171585,7740.45781875
HARYANA,2493.4638671875,0.1952442079782486,12771,0.19614481925964355,5242.2584343749995
MADHYA PRADESH,2373.85791015625,0.20025795698165894,11854,0.20145338773727417,4990.7988703125
ANDHRA PRADESH,2007.2056884765625,0.21206609904766083,9465,0.21268488466739655,4219.949239453124
BIHAR,1497.1402587890625,0.20082364976406097,7455,0.20154902338981628,3147.5876800781252
ODISHA,1001.2405395507812,0.2086787223815918,4798,0.20997972786426544,2105.0081103515627
CHHATTISGARH,493.723388671875,0.20893922448158264,2363,0.2104007452726364,1038.00405234375
ASSAM,186.69515991210938,0.2013971507549286,927,0.20197665691375732,392.50790419921873
UTTARAKHAND,145.830078125,0.1944401115179062,750,0.19464293122291565,306.59315625
JHARKHAND,141.95367431640625,0.20135273039340973,705,0.2015649378299713,298.44340488281244
NCT OF DELHI,91.23043823242188,0.1949368268251419,468,0.19524496793746948,191.80287333984373
GUJARAT,67.71629333496094,0.20771868526935577,326,0.2079460471868515,142.36673510742187
MANIPUR,66.57786560058594,0.20175111293792725,330,0.202133908867836,139.97330463867186
PUDUCHERRY,35.635658264160156,0.21729059517383575,164,0.2176857888698578,74.9204079345703
WEST BENGAL,15.91055965423584,0.20139949023723602,79,0.2015649378299713,33.45036061706543
MEGHALAYA,4.0109052658081055,0.2005452662706375,20,0.20063328742980957,8.432527230834962
KERALA,3.2488842010498047,0.21659228205680847,15,0.2166769951581955,6.83045414428711
GOA,2.989894390106201,0.21356388926506042,14,0.2135898768901825,6.285953965759277
DAMAN AND DIU,1.4559125900268555,0.20798751711845398,7,0.20803047716617584,3.0609106292724606
