admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
RAJASTHAN,27756.59765625,0.19834642112255096,139940,0.20129351317882538,58355.47091249999
MAHARASHTRA,27705.6640625,0.20945660769939423,132274,0.2115362286567688,58248.388125
UTTAR PRADESH,26739.298828125,0.19816282391548157,134936,0.2007129192352295,56216.70185625
GUJARAT,20561.046875,0.20484843850135803,100372,0.20674552023410797,43227.544949999996
TAMIL NADU,12534.0673828125,0.21766957640647888,57583,0.21879097819328308,26351.623265625
TELANGANA,11929.087890625,0.21131756901741028,56451,0.2124909907579422,25079.714381249996
KARNATAKA,8461.2822265625,0.2131734937429428,39692,0.21654045581817627,17788.999753125
MADHYA PRADESH,7301.908203125,0.20106586813926697,36316,0.20301860570907593,15351.531806250001
ODISHA,6097.1953125,0.2077125906944275,29354,0.20994307100772858,12818.743424999999
CHHATTISGARH,5351.1474609375,0.20674371719360352,25883,0.20951128005981445,11250.252421875
WEST BENGAL,5131.28271484375,0.20402714610099792,25150,0.2054097205400467,10788.0087796875
JHARKHAND,4951.55859375,0.20324091613292694,24363,0.20493263006210327,10410.1567875
ANDHRA PRADESH,4228.65185546875,0.2122284471988678,19925,0.213398739695549,8890.317660937499
HARYANA,4188.77001953125,0.19466353952884674,21518,0.19603762030601501,8806.4700890625
BIHAR,3850.7412109375,0.20084187388420105,19173,0.20172378420829773,8095.798321875
PUNJAB,706.7435302734375,0.19184134900569916,3684,0.1924947053194046,1485.857598046875
ASSAM,374.25,0.2012096792459488,1860,0.20202389359474182,786.8231999999999
KERALA,309.26019287109375,0.21794234216213226,1419,0.2186754196882248,650.1886294921875
UTTARAKHAND,303.13751220703125,0.19431892037391663,1560,0.19462458789348602,637.3163056640625
MANIPUR,301.22882080078125,0.20176076889038086,1493,0.20225614309310913,633.3034728515624
TRIPURA,152.14871215820312,0.20313580334186554,749,0.20380832254886627,319.8774524414062
NCT OF DELHI,103.72749328613281,0.19497649371623993,532,0.1953338086605072,218.07668188476563
MEGHALAYA,96.63848876953125,0.20049479603767395,482,0.2007778137922287,203.1727587890625
PUDUCHERRY,41.71807861328125,0.21728165447711945,192,0.21768081188201904,87.70808847656251
GOA,16.01693344116211,0.2135591059923172,75,0.21362946927547455,33.67400086669922
MIZORAM,6.078460693359375,0.20261535048484802,30,0.20320537686347961,12.77935576171875
NAGALAND,3.803445816040039,0.20018136501312256,19,0.20038697123527527,7.996364483642578
DAMAN AND DIU,3.1194252967834473,0.20796169340610504,15,0.20803837478160858,6.5582797439575184
