criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
biomass_resource,-30.0,0.3076,0.2153,0.9609,29255.65,True
biomass_resource,-20.0,0.3076,0.2461,0.9798,20407.35,True
biomass_resource,-10.0,0.3076,0.2768,0.994,10622.62,True
biomass_resource,10.0,0.3076,0.3384,0.9934,10919.27,True
biomass_resource,20.0,0.3076,0.3691,0.9748,21726.92,True
biomass_resource,30.0,0.3076,0.3999,0.9471,32235.67,False
lc_biomass,-30.0,0.2255,0.1578,0.9346,37958.71,False
lc_biomass,-20.0,0.2255,0.1804,0.9627,27428.82,True
lc_biomass,-10.0,0.2255,0.2029,0.9885,14236.96,True
lc_biomass,10.0,0.2255,0.248,0.9935,9766.02,True
lc_biomass,20.0,0.2255,0.2706,0.9833,15632.02,True
lc_biomass,30.0,0.2255,0.2931,0.9744,19314.3,True
road_suitability,-30.0,0.1615,0.1131,0.9775,22999.26,True
road_suitability,-20.0,0.1615,0.1292,0.9881,15980.08,True
road_suitability,-10.0,0.1615,0.1454,0.9962,8642.44,True
road_suitability,10.0,0.1615,0.1777,0.9934,11112.22,True
road_suitability,20.0,0.1615,0.1939,0.9739,22618.51,True
road_suitability,30.0,0.1615,0.21,0.9517,31227.7,True
river_biomass,-30.0,0.1111,0.0778,1.0,133.76,True
river_biomass,-20.0,0.1111,0.0889,1.0,95.55,True
river_biomass,-10.0,0.1111,0.1,1.0,51.19,True
river_biomass,10.0,0.1111,0.1222,1.0,58.09,True
river_biomass,20.0,0.1111,0.1333,1.0,123.25,True
river_biomass,30.0,0.1111,0.1444,1.0,196.49,True
grid_suitability,-30.0,0.0792,0.0554,0.9972,8330.38,True
grid_suitability,-20.0,0.0792,0.0634,0.9987,5771.48,True
grid_suitability,-10.0,0.0792,0.0713,0.9996,2975.65,True
grid_suitability,10.0,0.0792,0.0871,0.9996,3111.69,True
grid_suitability,20.0,0.0792,0.095,0.9984,6329.84,True
grid_suitability,30.0,0.0792,0.1029,0.9963,9628.65,True
pop_suitability,-30.0,0.0573,0.0401,1.0,542.11,True
pop_suitability,-20.0,0.0573,0.0458,1.0,385.2,True
pop_suitability,-10.0,0.0573,0.0516,1.0,204.89,True
pop_suitability,10.0,0.0573,0.063,1.0,229.78,True
pop_suitability,20.0,0.0573,0.0687,1.0,484.73,True
pop_suitability,30.0,0.0573,0.0745,1.0,765.65,True
terrain_score,-30.0,0.0326,0.0228,1.0,416.84,True
terrain_score,-20.0,0.0326,0.0261,1.0,294.32,True
terrain_score,-10.0,0.0326,0.0294,1.0,155.33,True
terrain_score,10.0,0.0326,0.0359,1.0,171.0,True
terrain_score,20.0,0.0326,0.0392,1.0,357.6,True
terrain_score,30.0,0.0326,0.0424,1.0,561.05,True
seismic_suitability,-30.0,0.0252,0.0176,1.0,202.65,True
seismic_suitability,-20.0,0.0252,0.0201,1.0,143.43,True
seismic_suitability,-10.0,0.0252,0.0227,1.0,75.98,True
seismic_suitability,10.0,0.0252,0.0277,1.0,84.25,True
seismic_suitability,20.0,0.0252,0.0302,1.0,176.62,True
seismic_suitability,30.0,0.0252,0.0327,1.0,277.42,True
