threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,1922769.0,288.415,1768.563,1692553,
0.35,1889875.5,283.481,1738.307,1663330,-0.141
0.4,1846864.4,277.03,1698.746,1625487,-0.224
0.45,1786663.6,268.0,1643.373,1572645,-0.364
0.5,1702428.0,255.364,1565.893,1498776,-0.625
0.55,1573773.5,236.066,1447.557,1385853,-1.259
0.6,1342139.5,201.321,1234.5,1181687,-2.735
0.65,961889.1,144.283,884.746,845339,-3.748
0.7,787442.1,118.116,724.289,692419,-2.871
0.75,638969.5,95.845,587.724,562533,-4.566
0.8,398477.9,59.772,366.52,351356,
