parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,0.5,0.35,67.092,411.407,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,0.5,0.4,76.676,470.179,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,0.5,0.45,86.261,528.952,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,0.5,0.55,105.43,646.497,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,0.5,0.6,115.015,705.269,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,0.5,0.65,124.599,764.041,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.3,0.21,67.092,411.407,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.3,0.24,76.676,470.179,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.3,0.27,86.261,528.952,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.3,0.33,105.43,646.497,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.3,0.36,115.015,705.269,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.3,0.39,124.599,764.041,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.7,0.49,95.845,411.407,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.7,0.56,95.845,470.179,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.7,0.63,95.845,528.952,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.7,0.77,95.845,646.497,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.7,0.84,95.845,705.269,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.7,0.91,95.845,764.041,0.0,30.0,0.0,1.0
