criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
solar_resource,-30.0,0.3314,0.232,0.9274,42224.48,False
solar_resource,-20.0,0.3314,0.2651,0.9629,29421.84,True
solar_resource,-10.0,0.3314,0.2983,0.9899,15283.93,True
solar_resource,10.0,0.3314,0.3646,0.9898,15677.53,True
solar_resource,20.0,0.3314,0.3977,0.9636,30165.22,True
solar_resource,30.0,0.3314,0.4308,0.9343,41188.65,False
grid_suitability,-30.0,0.2385,0.167,0.9471,37071.9,False
grid_suitability,-20.0,0.2385,0.1908,0.9737,25584.26,True
grid_suitability,-10.0,0.2385,0.2147,0.9932,12628.94,True
grid_suitability,10.0,0.2385,0.2624,0.9943,11261.45,True
grid_suitability,20.0,0.2385,0.2862,0.9792,21316.92,True
grid_suitability,30.0,0.2385,0.3101,0.9607,29194.01,True
terrain_score,-30.0,0.162,0.1134,0.9985,5976.53,True
terrain_score,-20.0,0.162,0.1296,0.9992,4262.95,True
terrain_score,-10.0,0.162,0.1458,0.9998,2273.77,True
terrain_score,10.0,0.162,0.1782,0.9997,2565.75,True
terrain_score,20.0,0.162,0.1944,0.9987,5425.29,True
terrain_score,30.0,0.162,0.2106,0.9967,8566.02,True
road_suitability,-30.0,0.109,0.0763,0.998,7835.9,True
road_suitability,-20.0,0.109,0.0872,0.999,5557.21,True
road_suitability,-10.0,0.109,0.0981,0.9997,2945.63,True
road_suitability,10.0,0.109,0.1199,0.9996,3282.96,True
road_suitability,20.0,0.109,0.1308,0.9984,6914.96,True
road_suitability,30.0,0.109,0.1417,0.9962,10905.53,True
river_solar,-30.0,0.0734,0.0514,0.9998,2415.93,True
river_solar,-20.0,0.0734,0.0587,0.9999,1714.91,True
river_solar,-10.0,0.0734,0.066,1.0,910.59,True
river_solar,10.0,0.0734,0.0807,1.0,1021.59,True
river_solar,20.0,0.0734,0.088,0.9998,2157.75,True
river_solar,30.0,0.0734,0.0954,0.9996,3410.45,True
seismic_suitability,-30.0,0.0498,0.0349,1.0,326.06,True
seismic_suitability,-20.0,0.0498,0.0399,1.0,231.42,True
seismic_suitability,-10.0,0.0498,0.0448,1.0,122.99,True
seismic_suitability,10.0,0.0498,0.0548,1.0,137.28,True
seismic_suitability,20.0,0.0498,0.0598,1.0,288.69,True
seismic_suitability,30.0,0.0498,0.0648,1.0,454.86,True
pop_suitability,-30.0,0.0359,0.0251,1.0,142.34,True
pop_suitability,-20.0,0.0359,0.0287,1.0,101.04,True
pop_suitability,-10.0,0.0359,0.0323,1.0,53.73,True
pop_suitability,10.0,0.0359,0.0394,1.0,59.96,True
pop_suitability,20.0,0.0359,0.043,1.0,125.96,True
pop_suitability,30.0,0.0359,0.0466,1.0,198.42,True
