threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,1907297.8,4291.42,7518.568,1677451,
0.35,1817818.2,4090.091,7165.84,1597464,-0.361
0.4,1719603.2,3869.107,6778.676,1510623,-0.701
0.45,1516641.4,3412.443,5978.6,1332185,-1.512
0.5,1210131.8,2722.796,4770.339,1063612,-2.359
0.55,945694.3,2127.812,3727.927,829785,-2.971
0.6,699308.6,1573.444,2756.675,613137,-4.139
0.65,463310.8,1042.449,1826.371,407717,-5.752
0.7,289328.2,650.988,1140.532,257120,-6.363
0.75,200313.3,450.705,789.635,178757,-7.425
0.8,91027.8,204.813,358.832,81781,
