parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,45.0,31.5,315.493,552.744,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,45.0,36.0,360.564,631.708,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,45.0,40.5,405.634,710.671,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,45.0,49.5,495.775,868.598,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,45.0,54.0,540.846,947.562,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,45.0,58.5,585.916,1026.525,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.05,0.035,315.493,552.744,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.05,0.04,360.564,631.708,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.05,0.045,405.634,710.671,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.05,0.055,495.775,868.598,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.05,0.06,540.846,947.562,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.05,0.065,585.916,1026.525,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.2,0.14,450.705,552.744,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.2,0.16,450.705,631.708,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.2,0.18,450.705,710.671,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.2,0.22,450.705,868.598,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.2,0.24,450.705,947.562,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.2,0.26,450.705,1026.525,0.0,30.0,0.0,1.0
