criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
grid_suitability,-30.0,0.4204,0.2943,0.9811,18746.44,True
grid_suitability,-20.0,0.4204,0.3363,0.9928,11041.3,True
grid_suitability,-10.0,0.4204,0.3783,0.9984,4990.39,True
grid_suitability,10.0,0.4204,0.4624,0.9988,4256.4,True
grid_suitability,20.0,0.4204,0.5045,0.996,7951.78,True
grid_suitability,30.0,0.4204,0.5465,0.9926,11105.46,True
terrain_score,-30.0,0.2609,0.1826,0.991,13136.2,True
terrain_score,-20.0,0.2609,0.2087,0.9957,8944.68,True
terrain_score,-10.0,0.2609,0.2348,0.9989,4424.95,True
terrain_score,10.0,0.2609,0.287,0.9991,4249.01,True
terrain_score,20.0,0.2609,0.3131,0.9966,8499.97,True
terrain_score,30.0,0.2609,0.3392,0.9925,12782.6,True
road_suitability,-30.0,0.1554,0.1088,0.9935,12339.45,True
road_suitability,-20.0,0.1554,0.1243,0.9968,8274.74,True
road_suitability,-10.0,0.1554,0.1399,0.9991,4193.97,True
road_suitability,10.0,0.1554,0.1709,0.999,4289.0,True
road_suitability,20.0,0.1554,0.1865,0.9963,8607.89,True
road_suitability,30.0,0.1554,0.202,0.9923,12814.64,True
pop_suitability,-30.0,0.0925,0.0647,0.9999,1202.37,True
pop_suitability,-20.0,0.0925,0.074,1.0,852.49,True
pop_suitability,-10.0,0.0925,0.0832,1.0,452.21,True
pop_suitability,10.0,0.0925,0.1017,1.0,504.46,True
pop_suitability,20.0,0.0925,0.111,0.9999,1061.16,True
pop_suitability,30.0,0.0925,0.1202,0.9998,1670.83,True
seismic_suitability,-30.0,0.0434,0.0304,1.0,315.55,True
seismic_suitability,-20.0,0.0434,0.0347,1.0,223.63,True
seismic_suitability,-10.0,0.0434,0.0391,1.0,118.57,True
seismic_suitability,10.0,0.0434,0.0478,1.0,132.03,True
seismic_suitability,20.0,0.0434,0.0521,1.0,277.57,True
seismic_suitability,30.0,0.0434,0.0565,1.0,437.22,True
river_wind,-30.0,0.0274,0.0192,1.0,542.01,True
river_wind,-20.0,0.0274,0.0219,1.0,381.45,True
river_wind,-10.0,0.0274,0.0247,1.0,200.6,True
river_wind,10.0,0.0274,0.0302,1.0,219.64,True
river_wind,20.0,0.0274,0.0329,1.0,457.08,True
river_wind,30.0,0.0274,0.0357,1.0,711.1,True
