threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,1753032.8,315.546,663.404,1544096,
0.35,1472635.5,265.074,557.292,1294995,-1.08
0.4,1298687.4,233.764,491.465,1141739,-0.688
0.45,1249297.5,224.874,472.774,1098220,-0.363
0.5,1198018.0,215.643,453.368,1053066,-0.453
0.55,1140653.9,205.318,431.66,1002581,-0.586
0.6,1076388.5,193.75,407.34,946093,-0.809
0.65,995589.9,179.206,376.763,875040,-1.264
0.7,882808.2,158.905,334.083,775973,-2.781
0.75,644879.0,116.078,244.043,567373,-4.35
0.8,508818.2,91.587,192.553,448163,
