parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,6.0,4.2,81.255,170.83,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,6.0,4.8,92.863,195.234,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,6.0,5.4,104.47,219.639,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,6.0,6.6,127.686,268.447,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,6.0,7.2,139.294,292.851,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,6.0,7.8,150.902,317.256,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.03,0.021,81.255,170.83,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.03,0.024,92.863,195.234,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.03,0.027,104.47,219.639,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.03,0.033,127.686,268.447,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.03,0.036,139.294,292.851,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.03,0.039,150.902,317.256,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.24,0.168,116.078,170.83,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.24,0.192,116.078,195.234,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.24,0.216,116.078,219.639,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.24,0.264,116.078,268.447,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.24,0.288,116.078,292.851,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.24,0.312,116.078,317.256,0.0,30.0,0.0,1.0
