admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
VIANA DO CASTELO,12242.3984375,56.15779113769531,218,56.15780258178711
BEJA,6401.98828125,56.15779113769531,114,56.15780258178711
AVEIRO,11905.4521484375,56.15779495239258,212,56.15780258178711
SANTAREM,19318.28125,56.15779495239258,344,56.15780258178711
LISBOA,3931.045654296875,56.15779495239258,70,56.15780258178711
EVORA,4773.41259765625,56.15779495239258,85,56.15780258178711
VILA REAL,5391.1484375,56.15779495239258,96,56.15780258178711
SETUBAL,2414.78515625,56.15779495239258,43,56.15780258178711
PORTALEGRE,3425.62548828125,56.15779495239258,61,56.15780258178711
VISEU,21059.173828125,56.157798767089844,375,56.15780258178711
COIMBRA,17408.91796875,56.157798767089844,310,56.15780258178711
LEIRIA,14095.607421875,56.157798767089844,251,56.15780258178711
PORTO,9266.037109375,56.157798767089844,165,56.15780258178711
GUARDA,2302.4697265625,56.157798767089844,41,56.15780258178711
CASTELO BRANCO,15555.7109375,56.15780258178711,277,56.15780258178711
BRAGA,16678.8671875,56.15780258178711,297,56.15780258178711
BRAGANCA,1965.523193359375,56.157806396484375,35,56.15780258178711
FARO,1684.7342529296875,56.15781021118164,30,56.15780258178711
