admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
FARO,69157.0234375,39.29376220703125,1760,41.17863464355469
BEJA,164455.671875,41.18599319458008,3993,44.164100646972656
CASTELO BRANCO,29036.76953125,43.5987548828125,666,46.70285415649414
SETUBAL,83732.90625,43.724754333496094,1915,49.15693664550781
EVORA,111408.46875,44.22726058959961,2519,47.67991638183594
PORTALEGRE,74311.921875,45.422935485839844,1636,50.20635986328125
GUARDA,600.7926025390625,50.0660514831543,12,53.19584655761719
LISBOA,2545.84423828125,53.038421630859375,48,58.70969772338867
SANTAREM,5294.69140625,54.58444595336914,97,57.54412078857422
BRAGANCA,451.02294921875,56.37786865234375,8,56.98711395263672
