admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
AVEIRO,2707.934814453125,55.26397705078125,49,61.26729965209961
VIANA DO CASTELO,6926.0126953125,55.40810012817383,125,59.177818298339844
BRAGA,3124.171142578125,55.78876876831055,56,60.35101318359375
CASTELO BRANCO,621.1314086914062,56.46649169921875,11,61.27702331542969
VILA REAL,15223.6875,56.59363555908203,269,62.62900161743164
VISEU,24342.31640625,56.74199676513672,429,63.99873352050781
PORTO,7901.34765625,56.8442268371582,139,65.6046142578125
LISBOA,59329.25,56.93785858154297,1042,64.0082015991211
GUARDA,19740.45703125,59.2806510925293,333,65.78761291503906
FARO,63565.74609375,59.518489837646484,1068,67.72574615478516
SANTAREM,8506.861328125,60.33235168457031,141,68.83634185791016
COIMBRA,6535.34716796875,60.512474060058594,108,71.50933837890625
LEIRIA,14111.1689453125,60.562957763671875,233,68.52388763427734
BRAGANCA,121.52824401855469,60.764122009277344,2,66.20691680908203
SETUBAL,2472.90966796875,63.40793991088867,39,70.11910247802734
PORTALEGRE,3976.77294921875,64.1415023803711,62,68.70539855957031
EVORA,6461.26318359375,67.30482482910156,96,71.39567565917969
BEJA,838.415771484375,69.86798095703125,12,73.80461883544922
