admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
SANTAREM,138.85906982421875,0.1435977965593338,967,0.14426301419734955,887.975979711914
VISEU,115.9554214477539,0.1407226026058197,824,0.14124630391597748,741.5117290740967
CASTELO BRANCO,100.9936294555664,0.14224454760551453,710,0.14274637401103973,645.8340616424559
COIMBRA,89.34101867675781,0.14181114733219147,630,0.14211222529411316,571.3179462341308
BRAGA,77.1397705078125,0.138990581035614,555,0.13928033411502838,493.29340444335935
BEJA,67.64364624023438,0.14641481637954712,462,0.14716067910194397,432.5675889770508
LEIRIA,62.93791198730469,0.14271634817123413,441,0.14347748458385468,402.47535957641605
EVORA,61.61140441894531,0.14496800303459167,425,0.14549782872200012,393.99260897827145
VIANA DO CASTELO,58.37141799926758,0.1383208930492401,422,0.13864482939243317,373.2735438217163
PORTO,50.40936279296875,0.13963812589645386,361,0.13989095389842987,322.35779318847653
SETUBAL,49.679622650146484,0.1456880420446396,341,0.1464419662952423,317.69125092315676
VILA REAL,47.94133758544922,0.13896040618419647,345,0.13956715166568756,306.57526559143065
AVEIRO,47.12736511230469,0.14067870378494263,335,0.14124630391597748,301.37007442016596
PORTALEGRE,44.858253479003906,0.14377644658088684,312,0.14440129697322845,286.85955934753423
LISBOA,34.29811096191406,0.14410971105098724,238,0.14444933831691742,219.32955997924807
GUARDA,30.776573181152344,0.14117693901062012,218,0.14159773290157318,196.81003017883302
BRAGANCA,26.938209533691406,0.13885675370693207,194,0.13928033411502838,172.2644623260498
FARO,15.356809616088867,0.14766162633895874,104,0.14789050817489624,98.20372613296507
