admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
BEJA,9748.34765625,2.441359281539917,3993,2.4533565044403076,16225.1498390625
EVORA,6091.775390625,2.4183309078216553,2519,2.426281690597534,10139.15096015625
SETUBAL,4652.7802734375,2.42965030670166,1915,2.4410252571105957,7744.087487109376
FARO,4334.23681640625,2.462634563446045,1760,2.466538667678833,7213.903757226562
PORTALEGRE,3925.87158203125,2.399677038192749,1636,2.4080560207366943,6534.220661132813
CASTELO BRANCO,1578.9893798828125,2.3708548545837402,666,2.3760452270507812,2628.0699238769535
SANTAREM,233.52328491210938,2.407456636428833,97,2.4117190837860107,388.6761554077148
LISBOA,115.64778137207031,2.4093286991119385,48,2.414045572280884,192.4841673156738
GUARDA,28.286128997802734,2.357177495956421,12,2.36016845703125,47.07943310394287
BRAGANCA,18.587596893310547,2.3234496116638184,8,2.323801040649414,30.937196269226074
