admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
BEJA,15384.978515625,2.4420599937438965,6300,2.4536795616149902,25606.75824140625
EVORA,11852.873046875,2.417966842651367,4902,2.426281690597534,19727.92189921875
PORTALEGRE,8600.234375,2.39894962310791,3585,2.406721591949463,14314.23009375
FARO,8044.150390625,2.4614903926849365,3268,2.4658987522125244,13388.68391015625
SETUBAL,7510.1396484375,2.4281084537506104,3093,2.440047025680542,12499.876430859376
CASTELO BRANCO,3897.830322265625,2.370943069458008,1644,2.3787665367126465,6487.5487883789065
SANTAREM,3498.41455078125,2.399461269378662,1458,2.4083893299102783,5822.761178320313
GUARDA,1501.951904296875,2.354156494140625,638,2.3596181869506836,2499.848749511719
LISBOA,1047.0252685546875,2.406954526901245,435,2.4130489826202393,1742.668856982422
BRAGANCA,292.6266784667969,2.3224339485168457,126,2.3245038986206055,487.0478436401367
COIMBRA,4.736732482910156,2.368366241455078,2,2.3685030937194824,7.883817544555664
VISEU,4.671069622039795,2.3355348110198975,2,2.335674524307251,7.774528278923034
