admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
FARO,294.7601318359375,0.1625814288854599,1813,0.16277043521404266,774.6296264648438
LISBOA,204.97805786132812,0.15865175426006317,1292,0.15906363725662231,538.6823360595703
VISEU,139.67176818847656,0.1543334424495697,905,0.15496009588241577,367.05740679931637
EVORA,132.91180419921875,0.1595579832792282,833,0.15982982516288757,349.2922214355469
GUARDA,125.6368637084961,0.15510724484920502,810,0.1556212157011032,330.1736778259277
VILA REAL,101.93061828613281,0.15281951427459717,667,0.15330125391483307,267.87366485595703
LEIRIA,80.17267608642578,0.1575101763010025,509,0.1580030918121338,210.69379275512696
BEJA,77.47000885009766,0.16173279285430908,479,0.1621132344007492,203.59118325805662
SETUBAL,58.091121673583984,0.16047270596027374,362,0.16104096174240112,152.6634677581787
COIMBRA,55.04367446899414,0.15593108534812927,353,0.15623310208320618,144.6547765045166
VIANA DO CASTELO,50.59710693359375,0.15194326639175415,333,0.15234090387821198,132.96919702148438
SANTAREM,48.10093688964844,0.15770798921585083,305,0.15831358730793,126.40926214599608
PORTO,42.88602828979492,0.15371336042881012,279,0.15392622351646423,112.70448234558106
PORTALEGRE,30.65265464782715,0.15882204473018646,193,0.15901967883110046,80.55517641448975
BRAGA,27.336257934570312,0.1527165174484253,179,0.15299910306930542,71.83968585205078
AVEIRO,20.564533233642578,0.15462055802345276,133,0.15502868592739105,54.0435933380127
CASTELO BRANCO,14.531180381774902,0.1562492549419403,93,0.15679199993610382,38.187942043304446
BRAGANCA,11.93697452545166,0.1530381292104721,78,0.15338245034217834,31.370369052886964
