criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
biomass_resource,-30.0,0.3076,0.2153,0.7607,14704.74,False
biomass_resource,-20.0,0.3076,0.2461,0.8814,10305.49,False
biomass_resource,-10.0,0.3076,0.2768,0.9741,4801.37,True
biomass_resource,10.0,0.3076,0.3384,0.9859,3551.48,True
biomass_resource,20.0,0.3076,0.3691,0.9593,6107.34,True
biomass_resource,30.0,0.3076,0.3999,0.932,7964.26,False
lc_biomass,-30.0,0.2255,0.1578,0.9304,8432.91,False
lc_biomass,-20.0,0.2255,0.1804,0.9612,6228.21,True
lc_biomass,-10.0,0.2255,0.2029,0.9878,3440.32,True
lc_biomass,10.0,0.2255,0.248,0.9823,4071.5,True
lc_biomass,20.0,0.2255,0.2706,0.9236,8456.46,False
lc_biomass,30.0,0.2255,0.2931,0.836,12299.41,False
road_suitability,-30.0,0.1615,0.1131,0.9927,2274.31,True
road_suitability,-20.0,0.1615,0.1292,0.9963,1623.32,True
road_suitability,-10.0,0.1615,0.1454,0.9989,865.48,True
road_suitability,10.0,0.1615,0.1777,0.9987,969.61,True
road_suitability,20.0,0.1615,0.1939,0.9943,2033.16,True
road_suitability,30.0,0.1615,0.21,0.9862,3184.87,True
river_biomass,-30.0,0.1111,0.0778,1.0,13.04,True
river_biomass,-20.0,0.1111,0.0889,1.0,9.44,True
river_biomass,-10.0,0.1111,0.1,1.0,5.2,True
river_biomass,10.0,0.1111,0.1222,1.0,5.93,True
river_biomass,20.0,0.1111,0.1333,1.0,12.33,True
river_biomass,30.0,0.1111,0.1444,1.0,19.53,True
grid_suitability,-30.0,0.0792,0.0554,0.9997,464.65,True
grid_suitability,-20.0,0.0792,0.0634,0.9998,330.2,True
grid_suitability,-10.0,0.0792,0.0713,1.0,175.57,True
grid_suitability,10.0,0.0792,0.0871,0.9999,197.01,True
grid_suitability,20.0,0.0792,0.095,0.9997,415.24,True
grid_suitability,30.0,0.0792,0.1029,0.9994,656.17,True
pop_suitability,-30.0,0.0573,0.0401,1.0,35.57,True
pop_suitability,-20.0,0.0573,0.0458,1.0,25.36,True
pop_suitability,-10.0,0.0573,0.0516,1.0,13.61,True
pop_suitability,10.0,0.0573,0.063,1.0,15.22,True
pop_suitability,20.0,0.0573,0.0687,1.0,31.78,True
pop_suitability,30.0,0.0573,0.0745,1.0,50.03,True
terrain_score,-30.0,0.0326,0.0228,1.0,155.2,True
terrain_score,-20.0,0.0326,0.0261,1.0,109.84,True
terrain_score,-10.0,0.0326,0.0294,1.0,58.35,True
terrain_score,10.0,0.0326,0.0359,1.0,64.79,True
terrain_score,20.0,0.0326,0.0392,1.0,135.79,True
terrain_score,30.0,0.0326,0.0424,0.9999,213.64,True
seismic_suitability,-30.0,0.0252,0.0176,1.0,53.85,True
seismic_suitability,-20.0,0.0252,0.0201,1.0,38.21,True
seismic_suitability,-10.0,0.0252,0.0227,1.0,20.31,True
seismic_suitability,10.0,0.0252,0.0277,1.0,22.61,True
seismic_suitability,20.0,0.0252,0.0302,1.0,47.3,True
seismic_suitability,30.0,0.0252,0.0327,1.0,74.25,True
