parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,0.5,0.35,0.3,1.916,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,0.5,0.4,0.343,2.19,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,0.5,0.45,0.385,2.464,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,0.5,0.55,0.471,3.012,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,0.5,0.6,0.514,3.285,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,0.5,0.65,0.557,3.559,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.3,0.21,0.3,1.916,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.3,0.24,0.343,2.19,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.3,0.27,0.385,2.464,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.3,0.33,0.471,3.012,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.3,0.36,0.514,3.285,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.3,0.39,0.557,3.559,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.73,0.511,0.428,1.916,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.73,0.584,0.428,2.19,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.73,0.657,0.428,2.464,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.73,0.803,0.428,3.012,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.73,0.876,0.428,3.285,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.73,0.949,0.428,3.559,0.0,30.0,0.0,1.0
