criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
solar_resource,-30.0,0.3314,0.232,0.9407,6882.39,False
solar_resource,-20.0,0.3314,0.2651,0.9779,4166.58,True
solar_resource,-10.0,0.3314,0.2983,0.9956,1858.27,True
solar_resource,10.0,0.3314,0.3646,0.9973,1473.4,True
solar_resource,20.0,0.3314,0.3977,0.9914,2663.28,True
solar_resource,30.0,0.3314,0.4308,0.9842,3644.08,True
grid_suitability,-30.0,0.2385,0.167,0.9865,3296.15,True
grid_suitability,-20.0,0.2385,0.1908,0.9932,2344.93,True
grid_suitability,-10.0,0.2385,0.2147,0.998,1254.77,True
grid_suitability,10.0,0.2385,0.2624,0.9973,1451.54,True
grid_suitability,20.0,0.2385,0.2862,0.9877,3122.65,True
grid_suitability,30.0,0.2385,0.3101,0.9685,4997.61,True
terrain_score,-30.0,0.162,0.1134,0.9942,2232.43,True
terrain_score,-20.0,0.162,0.1296,0.9972,1554.72,True
terrain_score,-10.0,0.162,0.1458,0.9992,806.76,True
terrain_score,10.0,0.162,0.1782,0.9991,852.2,True
terrain_score,20.0,0.162,0.1944,0.9965,1735.38,True
terrain_score,30.0,0.162,0.2106,0.9919,2636.35,True
road_suitability,-30.0,0.109,0.0763,0.9991,853.0,True
road_suitability,-20.0,0.109,0.0872,0.9995,606.62,True
road_suitability,-10.0,0.109,0.0981,0.9999,322.59,True
road_suitability,10.0,0.109,0.1199,0.9998,361.19,True
road_suitability,20.0,0.109,0.1308,0.9993,759.53,True
road_suitability,30.0,0.109,0.1417,0.9982,1195.39,True
river_solar,-30.0,0.0734,0.0514,0.9997,539.28,True
river_solar,-20.0,0.0734,0.0587,0.9998,383.49,True
river_solar,-10.0,0.0734,0.066,1.0,203.92,True
river_solar,10.0,0.0734,0.0807,0.9999,228.55,True
river_solar,20.0,0.0734,0.088,0.9998,481.66,True
river_solar,30.0,0.0734,0.0954,0.9994,759.12,True
seismic_suitability,-30.0,0.0498,0.0349,1.0,185.76,True
seismic_suitability,-20.0,0.0498,0.0399,1.0,132.05,True
seismic_suitability,-10.0,0.0498,0.0448,1.0,70.27,True
seismic_suitability,10.0,0.0498,0.0548,1.0,78.78,True
seismic_suitability,20.0,0.0498,0.0598,1.0,165.97,True
seismic_suitability,30.0,0.0498,0.0648,0.9999,261.97,True
pop_suitability,-30.0,0.0359,0.0251,1.0,11.65,True
pop_suitability,-20.0,0.0359,0.0287,1.0,8.34,True
pop_suitability,-10.0,0.0359,0.0323,1.0,4.55,True
pop_suitability,10.0,0.0359,0.0394,1.0,5.04,True
pop_suitability,20.0,0.0359,0.043,1.0,10.31,True
pop_suitability,30.0,0.0359,0.0466,1.0,16.11,True
