parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,50.0,35.0,21.51,35.801,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,50.0,40.0,24.582,40.915,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,50.0,45.0,27.655,46.029,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,50.0,55.0,33.801,56.258,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,50.0,60.0,36.874,61.373,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,50.0,65.0,39.946,66.487,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.05,0.035,21.51,35.801,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.05,0.04,24.582,40.915,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.05,0.045,27.655,46.029,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.05,0.055,33.801,56.258,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.05,0.06,36.874,61.373,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.05,0.065,39.946,66.487,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.19,0.133,30.728,35.801,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.19,0.152,30.728,40.915,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.19,0.171,30.728,46.029,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.19,0.209,30.728,56.258,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.19,0.228,30.728,61.373,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.19,0.247,30.728,66.487,0.0,30.0,0.0,1.0
