criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
wind_resource,-30.0,0.382,0.2674,0.9554,6165.4,True
wind_resource,-20.0,0.382,0.3056,0.9846,3577.85,True
wind_resource,-10.0,0.382,0.3438,0.997,1566.86,True
wind_resource,10.0,0.382,0.4202,0.9981,1225.84,True
wind_resource,20.0,0.382,0.4584,0.9941,2188.07,True
wind_resource,30.0,0.382,0.4967,0.9894,2945.22,True
grid_suitability,-30.0,0.248,0.1736,0.9916,2501.8,True
grid_suitability,-20.0,0.248,0.1984,0.9956,1792.82,True
grid_suitability,-10.0,0.248,0.2232,0.9987,958.52,True
grid_suitability,10.0,0.248,0.2728,0.9984,1068.94,True
grid_suitability,20.0,0.248,0.2976,0.993,2224.45,True
grid_suitability,30.0,0.248,0.3224,0.9832,3444.54,True
terrain_score,-30.0,0.1582,0.1107,0.9968,1637.91,True
terrain_score,-20.0,0.1582,0.1265,0.9984,1167.57,True
terrain_score,-10.0,0.1582,0.1423,0.9995,622.79,True
terrain_score,10.0,0.1582,0.174,0.9994,703.48,True
terrain_score,20.0,0.1582,0.1898,0.9974,1489.82,True
terrain_score,30.0,0.1582,0.2056,0.9934,2360.4,True
road_suitability,-30.0,0.0983,0.0688,0.9998,425.17,True
road_suitability,-20.0,0.0983,0.0786,0.9999,303.29,True
road_suitability,-10.0,0.0983,0.0884,1.0,161.95,True
road_suitability,10.0,0.0983,0.1081,1.0,182.87,True
road_suitability,20.0,0.0983,0.1179,0.9998,386.52,True
road_suitability,30.0,0.0983,0.1277,0.9995,612.01,True
pop_suitability,-30.0,0.0614,0.0429,1.0,29.36,True
pop_suitability,-20.0,0.0614,0.0491,1.0,20.96,True
pop_suitability,-10.0,0.0614,0.0552,1.0,11.28,True
pop_suitability,10.0,0.0614,0.0675,1.0,12.65,True
pop_suitability,20.0,0.0614,0.0736,1.0,26.43,True
pop_suitability,30.0,0.0614,0.0798,1.0,41.65,True
seismic_suitability,-30.0,0.0314,0.022,1.0,40.1,True
seismic_suitability,-20.0,0.0314,0.0251,1.0,28.51,True
seismic_suitability,-10.0,0.0314,0.0283,1.0,15.25,True
seismic_suitability,10.0,0.0314,0.0345,1.0,17.01,True
seismic_suitability,20.0,0.0314,0.0377,1.0,35.51,True
seismic_suitability,30.0,0.0314,0.0408,1.0,55.79,True
river_wind,-30.0,0.0208,0.0145,1.0,24.11,True
river_wind,-20.0,0.0208,0.0166,1.0,17.04,True
river_wind,-10.0,0.0208,0.0187,1.0,9.03,True
river_wind,10.0,0.0208,0.0229,1.0,10.03,True
river_wind,20.0,0.0208,0.0249,1.0,21.09,True
river_wind,30.0,0.0208,0.027,1.0,33.18,True
