parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,5.5,3.85,0.466,1.225,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,5.5,4.4,0.533,1.4,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,5.5,4.95,0.599,1.574,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,5.5,6.05,0.732,1.924,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,5.5,6.6,0.799,2.099,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,5.5,7.15,0.865,2.274,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.03,0.021,0.466,1.225,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.03,0.024,0.533,1.4,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.03,0.027,0.599,1.574,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.03,0.033,0.732,1.924,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.03,0.036,0.799,2.099,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.03,0.039,0.865,2.274,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.3,0.21,0.666,1.225,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.3,0.24,0.666,1.4,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.3,0.27,0.666,1.574,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.3,0.33,0.666,1.924,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.3,0.36,0.666,2.099,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.3,0.39,0.666,2.274,0.0,30.0,0.0,1.0
