year,country_code,scenario,total_fleet_all_cats,stock_bev_all,stock_hev_all,stock_phev_all,stock_ice_all,stock_fcev_all,ev_electricity_demand_twh,re_needed_total_gw,re_needed_solar_gw,re_needed_wind_gw,re_cumulative_solar_gw,re_cumulative_wind_gw,re_delta_solar_gw,re_delta_wind_gw,re_avail_solar_gw,re_avail_wind_gw,re_avail_biomass_gw,re_sufficiency_solar_pct,re_sufficiency_wind_pct,co2_total_mtco2eq,co2_ice_mtco2eq,co2_hev_mtco2eq,co2_phev_mtco2eq,co2_bev_indirect_mtco2eq,co2_baseline_mtco2eq,co2_avoided_mtco2eq,grid_intensity_gco2_kwh,annual_capex_bn_usd,fuel_savings_bn_usd,net_annual_cost_bn_usd,abatement_cost_usd_tco2,cumulative_capex_bn_usd,cumulative_savings_bn_usd,lcoe_solar_usd_mwh,lcoe_wind_usd_mwh,cost_method
2025,PRT,reference,4250400,756000,756000,294000,2310000,84000,2.089,0.943,0.705,0.238,0.705,0.238,0.7046,0.2385,30.73,0.67,0.43,100,100.0,8.28,6.4882,1.3676,0.1808,0.2434,52.9117,44.6317,120.0,0.11,0.048,0.062,1.39,0.11,0.05,55.0,48.0,lcoe
2026,PRT,reference,4301405,770206,757738,295935,2294846,84634,2.1275,0.96,0.718,0.243,0.718,0.243,0.0126,0.0049,30.73,0.67,0.43,100,100.0,8.2293,6.4457,1.3707,0.1815,0.2314,53.5466,45.3173,112.0,0.112,0.049,0.063,1.39,0.22,0.1,55.0,48.0,lcoe
2027,PRT,reference,4353022,798005,761133,299721,2265164,85874,2.2029,0.994,0.743,0.251,0.743,0.251,0.025,0.0085,30.73,0.67,0.43,100,100.0,8.1451,6.3623,1.3768,0.1833,0.2226,54.1892,46.0441,104.0,0.116,0.05,0.065,1.42,0.34,0.15,55.0,48.0,lcoe
2028,PRT,reference,4405258,838830,766110,305277,2221527,87694,2.3135,1.044,0.78,0.264,0.78,0.264,0.0373,0.0131,30.73,0.67,0.43,100,100.0,8.0278,6.2397,1.3858,0.1862,0.216,54.8395,46.8116,96.0,0.122,0.053,0.069,1.46,0.46,0.2,55.0,48.0,lcoe
2029,PRT,reference,4458121,892158,772598,312532,2164467,90071,2.4581,1.11,0.829,0.281,0.829,0.281,0.0491,0.0166,30.73,0.67,0.43,100,100.0,7.8778,6.0795,1.3976,0.1901,0.2106,55.4975,47.6197,88.0,0.129,0.056,0.073,1.53,0.59,0.26,55.0,48.0,lcoe
2030,PRT,reference,4511618,957508,780533,321417,2094472,92983,2.6353,1.19,0.889,0.301,0.889,0.301,0.0598,0.0198,30.73,0.67,0.43,100,100.0,7.6953,5.8829,1.4119,0.195,0.2055,56.1635,48.4682,80.0,0.138,0.06,0.078,1.61,0.73,0.32,55.0,48.0,lcoe
2031,PRT,reference,4565758,1035640,785645,328863,2018003,96409,2.8464,1.285,0.96,0.325,0.96,0.325,0.071,0.0239,30.73,0.67,0.43,100,100.0,7.4883,5.6681,1.4212,0.199,0.2,56.8375,49.3492,72.0,0.15,0.065,0.084,1.71,0.88,0.38,55.0,48.0,lcoe
2032,PRT,reference,4620547,1126095,788057,334943,1935215,100330,3.0903,1.395,1.042,0.353,1.042,0.353,0.0823,0.0278,30.73,0.67,0.43,100,100.0,7.2566,5.4355,1.4255,0.2021,0.1933,57.5195,50.263,64.0,0.162,0.071,0.092,1.82,1.04,0.45,55.0,48.0,lcoe
2033,PRT,reference,4675994,1228451,787886,339720,1846245,104731,3.3659,1.519,1.135,0.384,1.135,0.384,0.0933,0.0312,30.73,0.67,0.43,100,100.0,6.9999,5.1857,1.4252,0.2044,0.1846,58.2098,51.2099,56.0,0.177,0.077,0.1,1.95,1.22,0.53,55.0,48.0,lcoe
2034,PRT,reference,4732105,1342322,785238,343258,1751218,109595,3.6722,1.658,1.239,0.419,1.239,0.419,0.1035,0.0352,30.73,0.67,0.43,100,100.0,6.718,4.9187,1.4204,0.206,0.1729,58.9083,52.1902,48.0,0.193,0.084,0.109,2.08,1.41,0.61,55.0,48.0,lcoe
