year,country_code,vehicle_category,scenario,total_fleet,stock_ice,stock_hev,stock_phev,stock_bev,stock_fcev,bev_stock,non_ev_stock,bev_share_pct,electrified_share_pct,new_sales_bev_pct,new_sales_hev_pct,new_sales_phev_pct,new_sales_ice_pct,new_sales_fcev_pct
2025,PRT,passenger_car,reference,4250400,2310000,756000,294000,756000,84000,756000,3066000,17.79,44.47,18.0,18.0,7.0,55.0,2.0
2026,PRT,passenger_car,reference,4301405,2294846,757738,295935,770206,84634,770206,3052585,17.91,44.37,22.8,18.4,7.6,49.0,2.2
2027,PRT,passenger_car,reference,4353022,2265164,761133,299721,798005,85874,798005,3026297,18.33,44.68,27.6,18.8,8.2,43.0,2.4
2028,PRT,passenger_car,reference,4405258,2221527,766110,305277,838830,87694,838830,2987637,19.04,45.35,32.4,19.2,8.8,37.0,2.6
2029,PRT,passenger_car,reference,4458121,2164467,772598,312532,892158,90071,892158,2937065,20.01,46.37,37.2,19.6,9.4,31.0,2.8
2030,PRT,passenger_car,reference,4511618,2094472,780533,321417,957508,92983,957508,2875004,21.22,47.71,42.0,20.0,10.0,25.0,3.0
2031,PRT,passenger_car,reference,4565758,2018003,785645,328863,1035640,96409,1035640,2803647,22.68,49.2,47.2,19.0,9.6,21.0,3.2
2032,PRT,passenger_car,reference,4620547,1935215,788057,334943,1126095,100330,1126095,2723272,24.37,50.85,52.4,18.0,9.2,17.0,3.4
2033,PRT,passenger_car,reference,4675994,1846245,787886,339720,1228451,104731,1228451,2634131,26.27,52.63,57.6,17.0,8.8,13.0,3.6
2034,PRT,passenger_car,reference,4732105,1751218,785238,343258,1342322,109595,1342322,2536456,28.37,54.53,62.8,16.0,8.4,9.0,3.8
2035,PRT,passenger_car,reference,4788891,1650244,780210,345612,1467356,114907,1467356,2430454,30.64,56.55,68.0,15.0,8.0,5.0,4.0
2036,PRT,passenger_car,reference,4846357,1552998,772892,346196,1594930,120017,1594930,2325890,32.91,58.48,70.6,14.0,7.4,4.0,4.0
2037,PRT,passenger_car,reference,4904514,1459157,763368,345087,1725103,124940,1725103,2222525,35.17,60.32,73.2,13.0,6.8,3.0,4.0
2038,PRT,passenger_car,reference,4963368,1368420,751713,342353,1857938,129689,1857938,2120132,37.43,62.09,75.8,12.0,6.2,2.0,4.0
2039,PRT,passenger_car,reference,5022928,1280501,737996,338059,1993494,134279,1993494,2018497,39.69,63.78,78.4,11.0,5.6,1.0,4.0
2040,PRT,passenger_car,reference,5083203,1195134,722283,332265,2131832,138721,2131832,1917417,41.94,65.41,81.0,10.0,5.0,0.0,4.0
2041,PRT,passenger_car,reference,5144202,1115458,705308,325703,2268270,143029,2268270,1820766,44.09,66.92,82.2,9.2,4.6,0.0,4.0
