admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
ZABAYKAL'YE,7411869.0,83.16168975830078,89126,82.92041778564453
BURYAT,1748391.75,83.99671936035156,20815,87.08671569824219
GORNO-ALTAY,287755.375,84.1144027709961,3421,87.21041107177734
CHECHNYA,2539.40673828125,84.64688873291016,30,89.16458129882812
AMUR,2153196.5,84.66484832763672,25432,89.37185668945312
YEVREY,250446.078125,85.2147216796875,2939,89.73836517333984
KABARDIN-BALKAR,961.99267578125,87.4538803100586,11,91.69689178466797
DAGESTAN,294433.5625,88.10100555419922,3342,96.31912994384766
KHABAROVSK,962375.375,94.40605926513672,10194,102.94112396240234
PRIMOR'YE,1107286.25,94.87500762939453,11671,103.74148559570312
IRKUTSK,2577598.75,95.43833923339844,27008,105.98243713378906
TUVA,561445.25,97.86390686035156,5737,109.1309585571289
SAKHA,19072.59375,99.85651397705078,191,108.0216064453125
KARACHAY-CHERKESS,84487.875,102.65841674804688,823,110.90299224853516
KRASNOYARSK,1881.466552734375,104.52591705322266,18,106.64170837402344
KRASNODAR,1160.4176025390625,116.04176330566406,10,119.34961700439453
ASTRAKHAN',3939.17333984375,119.36888885498047,33,120.34667205810547
