admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
NORTH OSSETIA,3520.975830078125,70.41951751708984,50,71.99893951416016
KABARDIN-BALKAR,3906.77001953125,71.03218078613281,55,75.55870056152344
NENETS,597764.875,72.47391510009766,8248,77.60888671875
MURMANSK,539960.0625,72.83961486816406,7413,83.86011505126953
MAGADAN,342445.8125,76.38764190673828,4483,91.0323715209961
ASTRAKHAN',1909581.375,76.76091766357422,24877,83.94617462158203
KURGAN,2481127.75,76.8579330444336,32282,85.64163208007812
YAMAL-NENETS,1639468.75,78.0848159790039,20996,87.10835266113281
KALMYK,4360566.0,78.8258285522461,55319,84.69036102294922
OMSK,3494773.25,79.64387512207031,43880,85.38602447509766
SARATOV,3915777.5,81.31273651123047,48157,93.5766830444336
MORDOVIA,303005.09375,81.6065444946289,3713,92.2611312866211
VOLGOGRAD,6572963.0,81.92139434814453,80235,93.30108642578125
TUVA,1970.3621826171875,82.09842681884766,24,93.68085479736328
CHUVASH,1052655.375,82.26441192626953,12796,92.434326171875
CHELYABINSK,4424597.0,82.7445068359375,53473,95.02554321289062
TYUMEN',2094680.5,83.24446868896484,25163,95.46314239501953
ROSTOV,7517352.0,83.28460693359375,90261,93.91590881347656
ORENBURG,6782943.5,83.50293731689453,81230,97.5137939453125
LIPETSK,68552.78125,83.6009521484375,820,87.21549224853516
GORNO-ALTAY,8808.078125,83.88645935058594,105,99.43814849853516
KAMCHATKA,9576.7470703125,84.00655364990234,114,89.50347137451172
BURYAT,58723.57421875,84.3729476928711,696,110.36834716796875
NIZHEGOROD,2134111.75,85.02098846435547,25101,102.33968353271484
CHUKOT,15080.900390625,85.20282745361328,177,100.41986083984375
NOVOSIBIRSK,6832134.0,85.29824829101562,80097,97.99002075195312
MARIY-EL,684074.375,85.7343521118164,7979,100.54656219482422
SAMARA,3469914.5,86.14057159423828,40282,100.65589141845703
ZABAYKAL'YE,1494253.5,86.25835418701172,17323,102.771484375
TATARSTAN,4885599.0,86.55350494384766,56446,98.67808532714844
KARACHAY-CHERKESS,25609.5703125,86.81210327148438,295,103.96070861816406
KRASNODAR,3605973.25,86.86370849609375,41513,98.78849029541016
OREL,1680848.0,86.95990753173828,19329,95.31451416015625
KRASNOYARSK,1861016.0,87.2405776977539,21332,106.55154418945312
ALTAY,6501173.0,87.53430938720703,74270,102.0412826538086
SAKHA,48390.4765625,88.1429443359375,549,105.02781677246094
KURSK,2198955.0,88.81795501708984,24758,98.72631072998047
BELGOROD,1232194.0,88.9863510131836,13847,98.73004913330078
BASHKORTOSTAN,3524626.0,89.26041412353516,39487,103.4329833984375
SVERDLOVSK,1997301.75,89.4007339477539,22341,103.529296875
IRKUTSK,58640.9765625,89.52820587158203,655,112.1476058959961
STAVROPOL',2711280.25,89.55213165283203,30276,104.35127258300781
KOMI,795007.625,89.8923110961914,8844,104.50989532470703
KHANTY-MANSIY,2044358.125,90.07967376708984,22695,103.17517852783203
VORONEZH,912776.0,90.29340362548828,10109,102.6813735961914
KIROV,1926779.5,90.77877807617188,21225,105.67985534667969
UL'YANOVSK,1748140.0,90.80774688720703,19251,103.67452239990234
RYAZAN',176082.15625,90.857666015625,1938,105.26004791259766
TULA,646251.8125,90.95732879638672,7105,106.75018310546875
VLADIMIR,838641.0,91.61470031738281,9154,109.70110321044922
CITY OF ST. PETERSBURG,78460.0234375,91.87356567382812,854,105.14901733398438
UDMURT,1514281.125,92.32295227050781,16402,106.08296203613281
PENZA,44683.96484375,92.51338195800781,483,102.89697265625
DAGESTAN,775555.8125,92.93658447265625,8345,104.07720184326172
BRYANSK,1426743.5,93.99456787109375,15179,105.00395202636719
KARELIA,540421.5,95.98960876464844,5630,109.03153991699219
KEMEROVO,1562807.5,96.08407592773438,16265,107.9988021850586
IVANOVO,770681.75,96.61298370361328,7977,110.1495132446289
PSKOV,701447.3125,97.3016128540039,7209,111.42404174804688
KHAKASS,13605.154296875,97.8788070678711,139,111.16618347167969
PERM',1120089.75,98.27935028076172,11397,109.51468658447266
YAROSLAVL',787515.375,98.37793731689453,8005,110.86279296875
MOSKVA,1450815.0,99.0993881225586,14640,112.49996948242188
SMOLENSK,1500585.375,99.1270523071289,15138,110.81755828857422
AMUR,599145.625,99.36080169677734,6030,108.01948547363281
KOSTROMA,333944.375,99.44740295410156,3358,113.4583511352539
KALUGA,648309.5,99.57141876220703,6511,113.038818359375
TOMSK,834114.0,99.69092559814453,8367,111.74436950683594
TVER',1335821.375,99.86702728271484,13376,112.96298217773438
PRIMOR'YE,44988.75390625,100.64598083496094,447,112.40164184570312
NOVGOROD,347791.4375,101.24932861328125,3435,114.7173843383789
LENINGRAD,677048.0,101.41522216796875,6676,114.16914367675781
ARKHANGEL'SK,542576.25,102.35356903076172,5301,113.4711685180664
VOLOGDA,427644.78125,103.59612274169922,4128,113.94654083251953
KHABAROVSK,86704.796875,103.71387481689453,836,116.4275894165039
YEVREY,39893.21875,104.70661163330078,381,115.1027603149414
MOSCOW CITY,14236.3203125,107.85091400146484,132,114.27995300292969
ADYGEY,158839.0625,108.27474975585938,1467,117.65573120117188
CHECHNYA,32344.669921875,110.76941680908203,292,116.47616577148438
