admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
SAKHA,8149.17578125,0.08157087862491608,99903,0.09290177375078201,53540.0848828125
KRASNOYARSK,4242.80078125,0.08853370696306229,47923,0.10544344037771225,27875.2011328125
IRKUTSK,2620.78076171875,0.10302621126174927,25438,0.11190453171730042,17218.52960449219
ZABAYKAL'YE,2255.740966796875,0.11267437040805817,20020,0.11735265702009201,14820.218151855468
KHABAROVSK,1829.9532470703125,0.10860256850719452,16850,0.12129620462656021,12022.792833251953
AMUR,1819.649169921875,0.11012159287929535,16524,0.11851362138986588,11955.09504638672
KIROV,1600.43359375,0.09807780385017395,16318,0.10071384161710739,10514.8487109375
TVER',1476.114013671875,0.10120074450969696,14586,0.10365500301122665,9698.069069824218
SVERDLOVSK,1383.392822265625,0.09984791278839111,13855,0.10268790274858475,9088.890842285156
PERM',1347.3682861328125,0.09867215901613235,13655,0.10233762860298157,8852.209639892579
KOMI,1327.328125,0.08079177886247635,16429,0.08832112699747086,8720.54578125
NOVOSIBIRSK,1251.0147705078125,0.10646934062242508,11750,0.10902707278728485,8219.167042236328
BURYAT,1163.4072265625,0.11193065345287323,10394,0.11787572503089905,7643.585478515625
BASHKORTOSTAN,1137.260986328125,0.10852762311697006,10479,0.11295636743307114,7471.804680175781
SMOLENSK,1101.475341796875,0.10723085701465607,10272,0.10936630517244339,7236.692995605469
ARKHANGEL'SK,1079.2078857421875,0.08429335802793503,12803,0.08985648304224014,7090.395809326172
VOLOGDA,1074.051025390625,0.09384456276893616,11445,0.09624458849430084,7056.515236816406
MOSKVA,1000.390869140625,0.10503894090652466,9524,0.10684750229120255,6572.568010253906
ALTAY,990.2449951171875,0.11220906674861908,8825,0.11600013077259064,6505.909617919922
UDMURT,961.7132568359375,0.10068187117576599,9552,0.10306450724601746,6318.45609741211
NIZHEGOROD,878.9952392578125,0.10318056493997574,8519,0.10658331215381622,5774.998721923828
MAGADAN,852.9937744140625,0.08514611423015594,10018,0.09281764179468155,5604.169097900391
KARELIA,801.03466796875,0.08269171416759491,9687,0.08840664476156235,5262.7977685546875
TATARSTAN,774.9559936523438,0.10602763295173645,7309,0.10787458717823029,5091.4608782958985
TOMSK,723.2734375,0.10006549954414368,7228,0.10293007642030716,4751.906484375
LENINGRAD,722.0849609375,0.0939236432313919,7688,0.09596769511699677,4744.098193359375
TYUMEN',719.5690307617188,0.10134775191545486,7100,0.10368180274963379,4727.568532104492
KEMEROVO,711.6260986328125,0.10561385005712509,6738,0.10913151502609253,4675.383468017578
KALUGA,711.36572265625,0.10840684920549393,6562,0.11006897687911987,4673.672797851563
PSKOV,699.3745727539062,0.10110951960086823,6917,0.10379969328641891,4594.890942993164
YAROSLAVL',683.4820556640625,0.09932888299226761,6881,0.10125640034675598,4490.477105712891
KOSTROMA,667.0092163085938,0.09781628102064133,6819,0.09957028925418854,4382.250551147461
BRYANSK,638.1973876953125,0.11224012821912766,5686,0.11372219771146774,4192.956837158203
KHANTY-MANSIY,626.3695068359375,0.08739633113145828,7167,0.09326601028442383,4115.247659912109
YAMAL-NENETS,615.7125244140625,0.0789678767323494,7797,0.08357901871204376,4045.231285400391
KRASNODAR,605.626708984375,0.1307484209537506,4632,0.13290928304195404,3978.9674780273435
OMSK,555.012451171875,0.10418856143951416,5327,0.10732218623161316,3646.4318041992187
CHELYABINSK,534.37451171875,0.10647031664848328,5019,0.10863493382930756,3510.8405419921874
NOVGOROD,533.3070068359375,0.09794435650110245,5445,0.1000610738992691,3503.8270349121094
PRIMOR'YE,511.2752685546875,0.13235187530517578,3863,0.1354050487279892,3359.078514404297
KURSK,508.82855224609375,0.1153021901845932,4413,0.11647724360227585,3343.003588256836
IVANOVO,507.7762756347656,0.10153494775295258,5001,0.10255324840545654,3336.09013092041
VLADIMIR,503.84490966796875,0.10410019010305405,4840,0.10560286790132523,3310.2610565185546
GORNO-ALTAY,499.29656982421875,0.11715076863765717,4262,0.11874385178089142,3280.378463745117
TUVA,485.2290954589844,0.1150377169251442,4218,0.11752719432115555,3187.9551571655275
OREL,451.2101135253906,0.11238110065460205,4015,0.11356928944587708,2964.450445861816
KAMCHATKA,447.6610107421875,0.10618145763874054,4216,0.11154399812221527,2941.132840576172
KURGAN,438.229248046875,0.10486461967229843,4179,0.10639818012714386,2879.1661596679687
UL'YANOVSK,428.0341796875,0.10994970053434372,3893,0.11200741678476334,2812.184560546875
MURMANSK,383.0137939453125,0.07119215279817581,5380,0.07384886592626572,2516.400626220703
SAMARA,335.1041259765625,0.11059542000293732,3030,0.11221557855606079,2201.6341076660156
ROSTOV,326.9312438964844,0.12464019656181335,2623,0.1278672218322754,2147.9382723999024
CHUKOT,278.8829650878906,0.07165543735027313,3892,0.07450408488512039,1832.2610806274415
