admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
SAKHA,819.7904052734375,0.08746296912431717,9373,0.09248086810112,5386.022962646484
TVER',557.7904052734375,0.10117729008197784,5513,0.10362819582223892,3664.682962646484
KIROV,513.5457763671875,0.09753955900669098,5265,0.10007742047309875,3373.995750732422
IRKUTSK,472.56793212890625,0.10638629645109177,4442,0.11249532550573349,3104.771314086914
PERM',450.37298583984375,0.09839916974306107,4577,0.10212180018424988,2958.9505169677736
SVERDLOVSK,448.2493896484375,0.10003333538770676,4481,0.10258018225431442,2944.9984899902342
KRASNOYARSK,401.2667541503906,0.1014324426651001,3956,0.10786145180463791,2636.3225747680663
VOLOGDA,395.7301025390625,0.09377490729093552,4220,0.0962999239563942,2599.9467736816405
SMOLENSK,339.44964599609375,0.10718334466218948,3167,0.10949661582708359,2230.184174194336
KOSTROMA,319.87469482421875,0.09767166525125504,3275,0.09932450950145721,2101.576744995117
PSKOV,302.46484375,0.10102365911006927,2994,0.10392288118600845,1987.1940234375
LENINGRAD,301.21514892578125,0.09377806633710861,3212,0.09599539637565613,1978.9835284423827
MOSKVA,292.68505859375,0.10482989251613617,2792,0.10639818012714386,1922.9408349609375
ZABAYKAL'YE,289.43365478515625,0.11350339651107788,2550,0.1166025847196579,1901.5791119384767
AMUR,285.4375,0.10923746973276138,2613,0.11871416121721268,1875.324375
NIZHEGOROD,282.15972900390625,0.10282789170742035,2744,0.10655687749385834,1853.7894195556642
NOVGOROD,269.9900207519531,0.09789340943098068,2758,0.10025165975093842,1773.834436340332
ARKHANGEL'SK,267.3368225097656,0.08691053837537766,3076,0.09039469808340073,1756.40292388916
KARELIA,231.21896362304688,0.08457167446613312,2734,0.08917513489723206,1519.108591003418
BASHKORTOSTAN,229.02195739746094,0.1087990328669548,2105,0.11280281841754913,1504.6742601013184
YAROSLAVL',228.79086303710938,0.09912949055433273,2308,0.10109376907348633,1503.1559701538085
UDMURT,225.96376037597656,0.10047299414873123,2249,0.1027955710887909,1484.581905670166
KALUGA,215.77731323242188,0.10843081027269363,1990,0.11022736877202988,1417.6569479370116
KOMI,203.3787078857422,0.08277522027492523,2457,0.09101659059524536,1336.1981108093262
NOVOSIBIRSK,182.8909454345703,0.10614680498838425,1723,0.10891735553741455,1201.593511505127
TOMSK,178.0469970703125,0.10070531815290451,1768,0.10293814539909363,1169.768770751953
VLADIMIR,175.96939086914062,0.104185551404953,1689,0.10557630658149719,1156.1188980102538
IVANOVO,170.05926513671875,0.10152792185544968,1675,0.10255324840545654,1117.2893719482422
ALTAY,149.56735229492188,0.11245665699243546,1330,0.1163543313741684,982.6575045776367
PRIMOR'YE,136.7066192626953,0.13337230682373047,1025,0.1355406790971756,898.1624885559082
CHELYABINSK,130.57272338867188,0.10589839518070221,1233,0.1077379360795021,857.8627926635742
BRYANSK,129.91281127929688,0.11189734190702438,1161,0.11349278688430786,853.5271701049804
KEMEROVO,126.92210388183594,0.10576841980218887,1200,0.11133766919374466,833.8782225036621
TYUMEN',116.8576431274414,0.10056595504283905,1162,0.10354775935411453,767.75471534729
KHABAROVSK,114.32640075683594,0.117862269282341,970,0.12229110300540924,751.1244529724121
KHANTY-MANSIY,108.39802551269531,0.08892372995615005,1219,0.09377509355545044,712.1750276184082
BURYAT,105.44878387451172,0.1119413822889328,942,0.11834508180618286,692.798510055542
UL'YANOVSK,91.49002075195312,0.11009629815816879,831,0.11195598542690277,601.089436340332
TATARSTAN,91.30242919921875,0.10604231059551239,861,0.10787458717823029,599.8569598388672
GORNO-ALTAY,76.93877410888672,0.11657389998435974,660,0.1184467226266861,505.48774589538573
MURMANSK,75.50891876220703,0.07198181003332138,1049,0.07387867569923401,496.0935962677002
MAGADAN,70.4182357788086,0.08682889491319656,811,0.09315399080514908,462.6478090667725
KRASNODAR,66.69554901123047,0.132332444190979,504,0.13331110775470734,438.18975700378417
OMSK,65.15763854980469,0.10196813195943832,639,0.10440422594547272,428.0856852722168
MARIY-EL,62.57374954223633,0.10274835675954819,609,0.10378897935152054,411.1095344924927
KURGAN,44.99646759033203,0.10464294999837875,430,0.10573562979698181,295.62679206848145
TUVA,44.873504638671875,0.11506026983261108,390,0.11745241284370422,294.81892547607424
YAMAL-NENETS,43.00556945800781,0.0786207839846611,547,0.08361956477165222,282.54659133911133
TULA,36.19431686401367,0.10934838652610779,331,0.11066553741693497,237.79666179656982
SAMARA,34.155723571777344,0.11053632199764252,309,0.11188395321369171,224.40310386657714
OREL,29.911067962646484,0.11202647536993027,267,0.1133907362818718,196.5157165145874
KHAKASS,28.837095260620117,0.11006525158882141,262,0.1128540188074112,189.45971586227418
CHUVASH,27.018295288085938,0.10595409572124481,255,0.10710079967975616,177.51020004272462
KURSK,23.666095733642578,0.11488395929336548,206,0.1160755529999733,155.48624897003174
PENZA,22.364755630493164,0.11071661114692688,202,0.11138927191495895,146.9364444923401
RYAZAN',20.212017059326172,0.10694188624620438,189,0.10761172324419022,132.79295207977296
KARACHAY-CHERKESS,19.05689811706543,0.13420350849628448,142,0.13459448516368866,125.20382062911987
ORENBURG,16.9774227142334,0.11243326216936111,151,0.11529459804296494,111.54166723251343
CHUKOT,16.506763458251953,0.06935615092515945,238,0.07281006127595901,108.44943592071533
YEVREY,14.908531188964844,0.12220107764005661,122,0.12264864891767502,97.94904991149902
ADYGEY,13.530141830444336,0.13264845311641693,102,0.13319961726665497,88.89303182601928
MORDOVIA,11.724778175354004,0.10756677389144897,109,0.10860875993967056,77.0317926120758
KABARDIN-BALKAR,11.065979957580566,0.13495098054409027,82,0.1354094296693802,72.70348832130432
CHECHNYA,10.98949146270752,0.13567273318767548,81,0.1362815797328949,72.2009589099884
BELGOROD,10.3988037109375,0.11816822737455368,88,0.11872652918100357,68.32014038085937
SARATOV,9.348264694213867,0.11400322616100311,82,0.11489015817642212,61.418099040985105
DAGESTAN,5.899199485778809,0.13719068467617035,43,0.13885709643363953,38.757740621566775
ROSTOV,5.67838716506958,0.12344320118427277,46,0.12745949625968933,37.30700367450714
INGUSH,5.022588729858398,0.13574564456939697,37,0.13618162274360657,32.998407955169675
NORTH OSSETIA,4.6232099533081055,0.13597676157951355,34,0.1361294388771057,30.374489393234253
KAMCHATKA,4.299842357635498,0.10487420111894608,41,0.10544344037771225,28.249964289665222
VOLGOGRAD,3.2258665561676025,0.11947654187679291,27,0.12062285095453262,21.193943274021148
VORONEZH,2.6302621364593506,0.11955737322568893,22,0.11992449313402176,17.280822236537933
CITY OF ST. PETERSBURG,2.1527137756347656,0.09359624981880188,23,0.09426086395978928,14.143329505920411
STAVROPOL',1.4501373767852783,0.13183067739009857,11,0.1331326812505722,9.527402565479278
MOSCOW CITY,0.21022146940231323,0.10511073470115662,2,0.10533436387777328,1.381155053973198
LIPETSK,0.1126747578382492,0.1126747578382492,1,0.1126747578382492,0.7402731589972973
