admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
SAKHA,21557.39453125,0.07988658547401428,269850,0.0927334874868393,141632.0820703125
KRASNOYARSK,10958.8837890625,0.08707201480865479,125860,0.10615990310907364,71999.86649414063
ALTAY,8316.623046875,0.11282743513584137,73711,0.11564772576093674,54640.21341796875
ROSTOV,8045.09814453125,0.12510454654693604,64307,0.1278672218322754,52856.29480957031
AMUR,6012.6845703125,0.11181604862213135,53773,0.11921320110559464,39503.33762695312
KHABAROVSK,5981.50732421875,0.10533604770898819,56785,0.11985325813293457,39298.50312011719
STAVROPOL',5712.3193359375,0.13149604201316833,43441,0.1335337609052658,37529.93803710937
ZABAYKAL'YE,5630.4677734375,0.112726591527462,49948,0.11795031279325485,36992.173271484375
KRASNODAR,5575.48388671875,0.13009506464004517,42857,0.13214659690856934,36630.92913574219
IRKUTSK,5437.416015625,0.10372789204120636,52420,0.11200741678476334,35723.82322265625
NOVOSIBIRSK,5129.37255859375,0.10704479366540909,47918,0.10936630517244339,33699.977709960935
ORENBURG,5107.14453125,0.11393772065639496,44824,0.1163267195224762,33553.9395703125
BASHKORTOSTAN,5034.4462890625,0.10861804336309433,46350,0.11295636743307114,33076.312119140624
TATARSTAN,4533.5673828125,0.1059071496129036,42807,0.10771691054105759,29785.537705078124
VOLGOGRAD,4505.171875,0.12074971199035645,37310,0.12418980151414871,29598.97921875
MAGADAN,4344.9375,0.08486206084489822,51200,0.09270543605089188,28546.239375
SARATOV,4326.40869140625,0.1153985932469368,37491,0.11715296655893326,28424.505102539064
SAMARA,3651.56591796875,0.11149138957262039,32752,0.11369671672582626,23990.78808105469
BURYAT,3625.72998046875,0.11167431622743607,32467,0.11760193854570389,23821.045971679687
OMSK,3594.57177734375,0.10598766803741455,33915,0.10837306827306747,23616.33657714844
CHELYABINSK,2927.7431640625,0.10876525938510895,26918,0.11249532550573349,19235.272587890624
KURSK,2774.0966796875,0.11536144465208054,24047,0.11647724360227585,18225.815185546875
KOMI,2769.931396484375,0.07925412058830261,34950,0.0869494080543518,18198.449274902345
KIROV,2751.94921875,0.09865031391382217,27896,0.10131058841943741,18080.3063671875
SVERDLOVSK,2673.805908203125,0.09976143389940262,26802,0.10290317982435226,17566.90481689453
KAMCHATKA,2645.2109375,0.10477742552757263,25246,0.1114666536450386,17379.035859375
NIZHEGOROD,2427.453125,0.10423174500465393,23289,0.10671544820070267,15948.36703125
OREL,2379.5068359375,0.11262871325016022,21127,0.1137986034154892,15633.359912109376
KEMEROVO,2339.658203125,0.10605885088443756,22060,0.10887031257152557,15371.55439453125
KURGAN,2279.331787109375,0.10545627027750015,21614,0.10761172324419022,14975.209841308593
TVER',2235.82861328125,0.10120076686143875,22093,0.10368180274963379,14689.393989257813
PERM',2214.35986328125,0.09897022694349289,22374,0.10249128192663193,14548.344301757812
TYUMEN',2185.2783203125,0.10155583173036575,21518,0.10373540222644806,14357.278564453125
ARKHANGEL'SK,2137.8203125,0.08289016783237457,25791,0.08934562653303146,14045.479453125
UL'YANOVSK,2085.094970703125,0.10959763079881668,19025,0.11198169738054276,13699.073957519531
SMOLENSK,2029.179443359375,0.10719950497150421,18929,0.10928807407617569,13331.708942871093
YAMAL-NENETS,1969.542236328125,0.07838661968708038,25126,0.0821855291724205,12939.89249267578
KHANTY-MANSIY,1922.3961181640625,0.08750095963478088,21970,0.09334999322891235,12630.14249633789
UDMURT,1919.385009765625,0.10118535906076431,18969,0.10357457399368286,12610.359514160156
MOSKVA,1914.601806640625,0.10531942546367645,18179,0.10737486183643341,12578.933869628907
