admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
ZABAYKAL'YE,121440.609375,1.362572193145752,89126,1.3939836025238037,148934.76333750002
IRKUTSK,34965.8828125,1.2946491241455078,27008,1.317525863647461,42882.15868125
AMUR,34190.375,1.3443840742111206,25432,1.3988611698150635,41931.075899999996
BURYAT,28108.0234375,1.3503735065460205,20815,1.3813000917434692,34471.67994375
PRIMOR'YE,18028.26953125,1.5447064638137817,11671,1.5795212984085083,22109.869753125
KHABAROVSK,14342.3125,1.4069366455078125,10194,1.4530550241470337,17589.41205
TUVA,7847.083984375,1.3678027391433716,5737,1.3911083936691284,9623.663798437503
DAGESTAN,5358.6474609375,1.60342538356781,3342,1.614793062210083,6571.845246093751
GORNO-ALTAY,4782.05859375,1.397853970527649,3421,1.4037261009216309,5864.716659375001
YEVREY,4221.26171875,1.4362918138504028,2939,1.4522210359573364,5176.955371875
KARACHAY-CHERKESS,1288.34326171875,1.5654231309890747,823,1.5700374841690063,1580.024176171875
SAKHA,232.93792724609375,1.219570279121399,191,1.2273808717727661,285.67507397460946
ASTRAKHAN',49.18272018432617,1.4903854131698608,33,1.4912413358688354,60.317688034057625
CHECHNYA,47.76258850097656,1.5920863151550293,30,1.5929887294769287,58.57603853759766
KRASNOYARSK,23.930065155029297,1.3294481039047241,18,1.3309154510498047,29.347831906127933
KABARDIN-BALKAR,17.336881637573242,1.5760802030563354,11,1.5767087936401367,21.261951640319825
KRASNODAR,15.412919998168945,1.5412919521331787,10,1.5593204498291016,18.902405085754395
