admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
ZABAYKAL'YE,53340.43359375,1.3657423257827759,39056,1.3962805271148682,65416.70775937501
AMUR,18504.521484375,1.3597267866134644,13609,1.3991477489471436,22693.9451484375
IRKUTSK,12146.5859375,1.3038413524627686,9316,1.3208067417144775,14896.57299375
BURYAT,8401.6689453125,1.3442670106887817,6250,1.381010890007019,10303.80679453125
PRIMOR'YE,5870.8857421875,1.5417242050170898,3808,1.5622986555099487,7200.05427421875
KHABAROVSK,4927.16259765625,1.4223910570144653,3464,1.4538885354995728,6042.672209765625
YEVREY,2437.7431640625,1.4356555938720703,1698,1.4486024379730225,2989.6482164062504
GORNO-ALTAY,1023.9681396484375,1.396955132484436,733,1.399434208869934,1255.7945264648438
TUVA,229.12054443359375,1.3886094093322754,165,1.3957065343856812,280.9934356933594
DAGESTAN,131.20620727539062,1.6000757217407227,82,1.605040431022644,160.91129260253908
KARACHAY-CHERKESS,25.10799217224121,1.5692495107650757,16,1.5695229768753052,30.79244160003662
SAKHA,4.904238224029541,1.2260595560073853,4,1.228839635848999,6.014557757949829
