admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
ZABAYKAL'YE,159074.515625,1.3609721660614014,116883,1.3942707777023315,195088.9859625
AMUR,120922.3125,1.331860899925232,90792,1.3931214809417725,148299.12405
BURYAT,53176.3515625,1.341854453086853,39629,1.3801428079605103,65215.47755625001
IRKUTSK,44896.6484375,1.290170669555664,34799,1.316032886505127,55061.24964375
TUVA,32459.6953125,1.3596253395080566,23874,1.383034586906433,39808.570331250005
KRASNODAR,29840.8359375,1.5257611274719238,19558,1.547735571861267,36596.801193750005
ASTRAKHAN',29518.2734375,1.4764304161071777,19993,1.5009849071502686,36201.21054375
KHABAROVSK,25690.52734375,1.4003340005874634,18346,1.4438587427139282,31506.862734375005
PRIMOR'YE,24121.8515625,1.5441938638687134,15621,1.5777322053909302,29583.03875625
KALMYK,16373.947265625,1.499857783317566,10917,1.5234819650650024,20081.0089265625
DAGESTAN,11987.140625,1.6025588512420654,7480,1.6180435419082642,14701.029262500002
GORNO-ALTAY,11074.498046875,1.3940707445144653,7944,1.4045833349227905,13581.7644046875
YEVREY,8857.994140625,1.4417308568954468,6144,1.4572186470031738,10863.4440140625
KARACHAY-CHERKESS,8064.369140625,1.561047077178955,5166,1.569008231163025,9890.142314062503
STAVROPOL',5078.7734375,1.5329831838607788,3313,1.550295114517212,6228.607743750001
ADYGEY,3313.02685546875,1.5366543531417847,2156,1.5427600145339966,4063.0961355468753
ORENBURG,1604.8690185546875,1.3693422079086304,1172,1.373475193977356,1968.211364355469
SAKHA,1431.125,1.1965928077697754,1196,1.222408413887024,1755.1317000000001
ROSTOV,615.2564697265625,1.478981852531433,416,1.4836211204528809,754.5505344726563
KABARDIN-BALKAR,529.2877197265625,1.575261116027832,336,1.5787549018859863,649.1184594726562
CHECHNYA,396.09942626953125,1.5907607078552246,249,1.5924830436706543,485.77633637695317
KRASNOYARSK,314.9224853515625,1.328786849975586,237,1.3309154510498047,386.2209360351563
NORTH OSSETIA,272.11627197265625,1.5913232564926147,171,1.594252109527588,333.72339594726566
ALTAY,182.5240478515625,1.3520300388336182,135,1.3644520044326782,223.84749228515628
VOLGOGRAD,38.45217514038086,1.4241546392440796,27,1.4275758266448975,47.15774759216309
INGUSH,30.203510284423828,1.5896583795547485,19,1.589951753616333,37.041585012817386
