admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
ROSTOV,11303.5771484375,0.12523213028907776,90261,0.1278672218322754,25745.02731328125
VOLGOGRAD,9729.1103515625,0.12125768512487411,80235,0.12397471815347672,22159.02173671875
ORENBURG,9329.1328125,0.11484836786985397,81230,0.1170780137181282,21248.03289375
NOVOSIBIRSK,8581.3779296875,0.10713732242584229,80097,0.10947056114673615,19544.946372656254
ALTAY,8415.69921875,0.11331222951412201,74270,0.11622630059719086,19167.596540625003
KALMYK,7082.677734375,0.1280333697795868,55319,0.13051579892635345,16131.5068078125
TATARSTAN,5973.583984375,0.10582829266786575,56446,0.10763802379369736,13605.4348828125
CHELYABINSK,5859.7431640625,0.10958321392536163,53473,0.11295636743307114,13346.15103046875
SARATOV,5586.6162109375,0.11600839346647263,48157,0.1180993914604187,12724.07708203125
KRASNODAR,5382.20654296875,0.12965111434459686,41513,0.13112984597682953,12258.513622265626
OMSK,4640.77294921875,0.10576055198907852,43880,0.10795337706804276,10569.824469140627
SAMARA,4502.30615234375,0.1117696762084961,40282,0.11382406204938889,10254.452492578124
BASHKORTOSTAN,4270.92919921875,0.10816038399934769,39487,0.1128540188074112,9727.468344140625
STAVROPOL',3953.99853515625,0.13059844076633453,30276,0.1320115178823471,9005.627063671876
KURGAN,3414.00634765625,0.10575572401285172,32282,0.10758542269468307,7775.740857421875
ASTRAKHAN',3132.6494140625,0.12592552602291107,24877,0.12849386036396027,7134.92230546875
KURSK,2856.74755859375,0.11538684368133545,24758,0.1165023222565651,6506.528239453125
NIZHEGOROD,2633.27294921875,0.1049070954322815,25101,0.10679469257593155,5997.542469140624
TYUMEN',2558.73828125,0.10168653726577759,25163,0.10386933386325836,5827.782309375
SVERDLOVSK,2251.0390625,0.10075820237398148,22341,0.10301074385643005,5126.966568750001
OREL,2176.09716796875,0.11258198320865631,19329,0.11372219771146774,4956.278909765624
KIROV,2111.794189453125,0.09949560463428497,21225,0.10158131271600723,4809.822445898437
UL'YANOVSK,2107.7490234375,0.10948776453733444,19251,0.1120845377445221,4800.60917578125
ZABAYKAL'YE,2045.00048828125,0.11805117130279541,17323,0.12004968523979187,4657.693112109375
KHANTY-MANSIY,2035.7857666015625,0.08970195055007935,22695,0.0936017781496048,4636.705662011719
KRASNOYARSK,1878.373779296875,0.08805427700281143,21332,0.10523068159818649,4278.184119726563
KEMEROVO,1718.8250732421875,0.10567630082368851,16265,0.10795337706804276,3914.795986816406
BRYANSK,1708.5416259765625,0.11255956441164017,15179,0.11384952068328857,3891.3744073242187
UDMURT,1668.5218505859375,0.10172673314809799,16402,0.10384254902601242,3800.2253668945314
BELGOROD,1635.982666015625,0.11814708262681961,13847,0.11933648586273193,3726.1141201171877
SMOLENSK,1621.899658203125,0.10714095085859299,15138,0.10913151502609253,3694.0386615234374
YAMAL-NENETS,1600.88330078125,0.07624705880880356,20996,0.08180707693099976,3646.171805859375
MOSKVA,1542.7197265625,0.10537703335285187,14640,0.10737486183643341,3513.69844921875
TVER',1348.8597412109375,0.10084179043769836,13376,0.10349411517381668,3072.1629465820315
CHUVASH,1346.8614501953125,0.10525644570589066,12796,0.10668902844190598,3067.611638964844
VORONEZH,1207.98291015625,0.11949578672647476,10109,0.12031938135623932,2751.301876171875
PERM',1140.010009765625,0.10002720355987549,11397,0.10274174064397812,2596.4867982421874
DAGESTAN,1113.092529296875,0.1333843618631363,8345,0.1349927932024002,2535.1795447265627
VLADIMIR,950.4503173828125,0.10382895916700363,9154,0.105488620698452,2164.745642871094
TOMSK,838.492431640625,0.10021422803401947,8367,0.10333310812711716,1909.7503623046875
MARIY-EL,816.1689453125,0.10228963196277618,7979,0.10368180274963379,1858.90638984375
IVANOVO,810.5316162109375,0.10160857439041138,7977,0.10268790274858475,1846.0668090820313
YAROSLAVL',799.9314575195312,0.09992897510528564,8005,0.10190576314926147,1821.9238876464844
TULA,779.44482421875,0.10970370471477509,7105,0.11100190132856369,1775.2635316406252
PSKOV,729.1483154296875,0.10114417225122452,7209,0.10335995256900787,1660.7082032226565
AMUR,712.4500732421875,0.11815092712640762,6030,0.11960738152265549,1622.6762868164062
KALUGA,707.4385375976562,0.10865282267332077,6511,0.10973096638917923,1611.2620132324219
