admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
ROSTOV,6226.13916015625,0.1259383261203766,49438,0.1280299723148346,14180.654551171874
VOLGOGRAD,5595.8544921875,0.12155916541814804,46034,0.12416592240333557,12745.11819140625
KALMYK,5084.4658203125,0.1279529333114624,39737,0.13047020137310028,11580.379352343749
NOVOSIBIRSK,4459.2197265625,0.10723144561052322,41585,0.10970494151115417,10156.318849218751
ORENBURG,3466.755859375,0.11527035385370255,30075,0.11732771247625351,7895.8831453125
KRASNODAR,3442.971923828125,0.12915827333927155,26657,0.13042457401752472,7841.712853710938
CHELYABINSK,3372.00634765625,0.10967300832271576,30746,0.11308423429727554,7680.081657421876
ALTAY,3367.89453125,0.11358068883419037,29652,0.1161760687828064,7670.716584375
SARATOV,3345.34130859375,0.11637993901968002,28745,0.1182483434677124,7619.349364453125
OMSK,2958.68701171875,0.106019526720047,27907,0.10795337706804276,6738.705537890625
ASTRAKHAN',2319.0966796875,0.12588050961494446,18423,0.1284475475549698,5281.97459765625
TATARSTAN,2173.898193359375,0.1057652160525322,20554,0.107532799243927,4951.270525195313
KURGAN,2161.315185546875,0.10585342347621918,20418,0.107532799243927,4922.611466601563
SAMARA,1806.365966796875,0.11216180771589279,16105,0.11402761936187744,4114.179125976562
TYUMEN',1467.73388671875,0.10243815183639526,14328,0.10389610379934311,3342.910700390625
STAVROPOL',1145.6318359375,0.13008196651935577,8807,0.1310390681028366,2609.2910695312503
KURSK,1143.286865234375,0.11535535007715225,9911,0.1164521649479866,2603.950164257813
NIZHEGOROD,1049.4320068359375,0.10547055304050446,9950,0.10679469257593155,2390.186338769531
YAMAL-NENETS,1026.0924072265625,0.07613091170787811,13478,0.08183620125055313,2337.028066699219
BASHKORTOSTAN,919.92333984375,0.10703005641698837,8595,0.10996503382921219,2095.217398828125
OREL,889.8349609375,0.11250916123390198,7909,0.11356928944587708,2026.6881070312502
SVERDLOVSK,830.3258056640625,0.10137050598859787,8191,0.10293007642030716,1891.1500549804687
KHANTY-MANSIY,757.8333740234375,0.08948321640491486,8469,0.09228421747684479,1726.0412926757813
CHUVASH,715.28857421875,0.10501961410045624,6811,0.10647754371166229,1629.141256640625
KIROV,662.2575073242188,0.10026608407497406,6605,0.10187873989343643,1508.3576986816406
UL'YANOVSK,525.51806640625,0.1091645359992981,4814,0.1120845377445221,1196.9199480468749
KRASNOYARSK,435.7651672363281,0.0747966319322586,5826,0.1037621945142746,992.498744897461
BELGOROD,433.25640869140625,0.11782877892255783,3677,0.1191391795873642,986.7847964355468
MARIY-EL,393.1443176269531,0.10219503939151764,3847,0.10357457399368286,895.4254978271485
BRYANSK,388.13470458984375,0.11256807297468185,3448,0.1137986034154892,884.0156031738281
VLADIMIR,352.0892028808594,0.10355564951896667,3400,0.10509759932756424,801.9183684814453
ZABAYKAL'YE,351.3447570800781,0.11873766779899597,2959,0.12019684910774231,800.222818725586
NENETS,349.50018310546875,0.0695246011018753,5027,0.07073594629764557,796.0216170410157
UDMURT,302.54766845703125,0.10266293585300446,2947,0.1039496511220932,689.0825696777345
DAGESTAN,258.3996887207031,0.1330585479736328,1942,0.13486091792583466,588.5311310302735
TULA,208.618408203125,0.11014699190855026,1894,0.11105359345674515,475.1492865234375
MURMANSK,205.7582550048828,0.06856323033571243,3001,0.06974294781684875,468.6350015991211
MOSKVA,197.75872802734375,0.10660848021507263,1855,0.10771691054105759,450.4152789550782
TVER',197.33197021484375,0.09956204146146774,1982,0.10063234716653824,449.4432953613281
IVANOVO,195.43064880371094,0.10162800550460815,1923,0.10274174064397812,445.11284571533207
KEMEROVO,183.34689331054688,0.10488952696323395,1748,0.10642463713884354,417.5908842041016
SMOLENSK,170.60736083984375,0.10743536800146103,1588,0.10876573622226715,388.5753250488282
VORONEZH,170.45269775390625,0.11969992518424988,1424,0.12049076706171036,388.22306440429685
PSKOV,170.34619140625,0.10067741572856903,1692,0.1032257080078125,387.980485546875
KOMI,154.59898376464844,0.07316563278436661,2113,0.07533631473779678,352.1146454223633
MORDOVIA,124.03910064697266,0.10786008834838867,1150,0.10879188030958176,282.5114556335449
YAROSLAVL',122.04378509521484,0.10069619119167328,1212,0.1023915559053421,277.96692493286133
KALUGA,113.05087280273438,0.10880738496780396,1039,0.10926198959350586,257.4846678955078
PERM',84.68556213378906,0.10105675458908081,838,0.10233762860298157,192.879836315918
LENINGRAD,80.95535278320312,0.0943535566329956,858,0.09482923150062561,184.38391149902347
KARELIA,67.21146392822266,0.07842644304037094,857,0.07942140847444534,153.08083024291994
RYAZAN',63.633705139160156,0.10748936980962753,592,0.10868725925683975,144.93212682495118
KOSTROMA,50.4565544128418,0.09991396963596344,505,0.10052364319562912,114.91984833068847
TOMSK,42.429725646972656,0.1003066822886467,423,0.1027955710887909,96.63794313354492
NOVGOROD,38.75304412841797,0.09835798293352127,394,0.0987774133682251,88.26393330688478
CITY OF ST. PETERSBURG,36.21546936035156,0.09406615048646927,385,0.09424412995576859,82.48435301513673
LIPETSK,32.095436096191406,0.11261556297540665,285,0.11272599548101425,73.10056525268556
VOLOGDA,14.797590255737305,0.09546832740306854,155,0.09569049626588821,33.70299156646729
ARKHANGEL'SK,10.34096908569336,0.08142495155334473,127,0.08386854827404022,23.552591189575196
PENZA,9.371208190917969,0.11156199872493744,84,0.11175010353326797,21.343863775634766
MAGADAN,7.745960712432861,0.09112895280122757,85,0.09159762412309647,17.64220011863709
AMUR,2.0244719982147217,0.11908658593893051,17,0.11936113238334656,4.6109374231338505
BURYAT,1.4847291707992554,0.11420993506908417,13,0.1150621548295021,3.3816191594123843
KARACHAY-CHERKESS,0.39895135164260864,0.13298378884792328,3,0.13299421966075897,0.9086515985012055
PRIMOR'YE,0.267510324716568,0.133755162358284,2,0.13411040604114532,0.6092815155744553
SAKHA,0.20014938712120056,0.10007469356060028,2,0.10010737180709839,0.4558602441072464
IRKUTSK,0.19035373628139496,0.09517686814069748,2,0.09518798440694809,0.43354966975450515
KHABAROVSK,0.11244402825832367,0.11244402825832367,1,0.11244402825832367,0.256102518761158
CHUKOT,0.06974294781684875,0.06974294781684875,1,0.06974294781684875,0.15884653794765471
