admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
ALTAY,12641.763671875,0.11310718208551407,111768,0.11612581461668015,28792.880939062503
ORENBURG,12564.7294921875,0.11477154493331909,109476,0.11705302447080612,28617.42789140625
ROSTOV,12551.9208984375,0.1250801831483841,100351,0.127820685505867,28588.25503828125
VOLGOGRAD,11380.80859375,0.12114976346492767,93940,0.12395080178976059,25920.929653125
NOVOSIBIRSK,10827.267578125,0.10711053013801575,101085,0.10947056114673615,24660.1846359375
KALMYK,8191.31640625,0.1280573457479477,63966,0.13053859770298004,18656.542246875
BASHKORTOSTAN,7307.236328125,0.10862064361572266,67273,0.11316090822219849,16642.9614609375
CHELYABINSK,7212.27978515625,0.10952755063772202,65849,0.1129307895898819,16426.688438671878
SARATOV,7012.958984375,0.11588986217975616,60514,0.11802487075328827,15972.7153828125
TATARSTAN,6907.72119140625,0.10586870461702347,65248,0.10769061744213104,15733.025785546877
STAVROPOL',6364.8916015625,0.1310349553823471,48574,0.13259580731391907,14496.677111718749
KRASNODAR,5964.14892578125,0.12983888387680054,45935,0.13149231672286987,13583.945593359374
OMSK,5876.52099609375,0.10567951947450638,55607,0.10800588876008987,13384.364220703124
SAMARA,5535.10107421875,0.11158353090286255,49605,0.11374767124652863,12606.746206640626
ZABAYKAL'YE,4970.97998046875,0.11735634505748749,42358,0.11980411410331726,11321.904003515625
KURGAN,4326.52197265625,0.1057208999991417,40924,0.10761172324419022,9854.086444921875
KRASNOYARSK,4228.373046875,0.09341786801815033,45263,0.10581524670124054,9630.5424515625
ASTRAKHAN',3680.1513671875,0.12593339383602142,29223,0.12842437624931335,8381.91275390625
NIZHEGOROD,3501.787109375,0.10474983602762222,33430,0.10682109743356705,7975.6703203125
TYUMEN',3241.596435546875,0.10151878744363785,31931,0.10386933386325836,7383.060041601563
KURSK,3020.71923828125,0.11538270860910416,26180,0.1165023222565651,6879.990137109376
KIROV,2922.42333984375,0.09914249181747437,29477,0.10160837322473526,6656.111398828125
SVERDLOVSK,2884.1982421875,0.1004842072725296,28703,0.10303762555122375,6569.04991640625
UL'YANOVSK,2838.82763671875,0.10969618707895279,25879,0.11218731850385666,6465.713825390625
KEMEROVO,2815.13134765625,0.10595150291919708,26570,0.10837306827306747,6411.743157421875
KHANTY-MANSIY,2800.42236328125,0.08966229110956192,31233,0.09385332465171814,6378.241974609376
OREL,2526.657470703125,0.11259614676237106,22440,0.11372474581003189,5754.715055273437
SMOLENSK,2356.960693359375,0.10715405642986298,21996,0.10923589766025543,5368.213675195312
MOSKVA,2279.2197265625,0.10534872859716415,21635,0.10734852403402328,5191.1508492187495
PERM',2222.45947265625,0.09956363588571548,22322,0.1026071235537529,5061.873694921875
TVER',2216.96826171875,0.10109755396842957,21929,0.10360138863325119,5049.366912890625
UDMURT,2216.37060546875,0.10151005536317825,21834,0.1037621945142746,5048.005691015625
BRYANSK,2210.42578125,0.11249558627605438,19649,0.11384952068328857,5034.465759375001
YAMAL-NENETS,2154.56689453125,0.07620041817426682,28275,0.0815739557147026,4907.241558984376
BELGOROD,2050.2236328125,0.1182025745511055,17345,0.11938577145338058,4669.5893460937505
DAGESTAN,1876.787841796875,0.13358871638774872,14049,0.13545319437980652,4274.571988476562
TOMSK,1626.6527099609375,0.10004629194736481,16259,0.10325255990028381,3704.8642122070314
VORONEZH,1563.8590087890625,0.1193876639008522,13099,0.12029488384723663,3561.8452784179685
AMUR,1522.1905517578125,0.1175709068775177,12947,0.11990238726139069,3466.9412006835937
CHUVASH,1495.3592529296875,0.10534407943487167,14195,0.10679469257593155,3405.8302344726562
KALUGA,1368.93896484375,0.1085081622004509,12616,0.10999102145433426,3117.895386328125
VLADIMIR,1258.90673828125,0.10393880307674408,12112,0.10552316904067993,2867.285987109375
PSKOV,1195.54736328125,0.10116325318813324,11818,0.10346728563308716,2722.978674609375
MAGADAN,1163.322265625,0.08943817019462585,13007,0.0925089493393898,2649.5827921874998
YAROSLAVL',1159.38671875,0.09968074411153793,11631,0.10168951749801636,2640.6191906249996
KOMI,1136.4892578125,0.07683654129505157,14791,0.08683481067419052,2588.46793359375
TULA,1093.6607666015625,0.10961820185184479,9977,0.11095019429922104,2490.9217620117183
LENINGRAD,1050.383544921875,0.09406981617212296,11166,0.09596769511699677,2392.3535619140625
MARIY-EL,1009.8077392578125,0.10227973014116287,9873,0.10368180274963379,2299.9381069335936
IVANOVO,1002.4602661132812,0.10159727185964584,9867,0.10268790274858475,2283.2035020996095
VOLOGDA,973.6657104492188,0.09428349882364273,10327,0.09641057252883911,2217.621022119141
ARKHANGEL'SK,970.3893432617188,0.08617257326841354,11261,0.09011155366897583,2210.1587682128907
IRKUTSK,967.79443359375,0.10625762492418289,9108,0.111724354326725,2204.248601953125
KARELIA,864.462158203125,0.0816531777381897,10587,0.08829262107610703,1968.8990115234374
MURMANSK,862.4592895507812,0.06944116950035095,12420,0.07268449664115906,1964.3372778808593
NENETS,827.2396240234375,0.06960367411375046,11885,0.07085613906383514,1884.120967675781
KOSTROMA,812.422119140625,0.0982610210776329,8268,0.10017000138759613,1850.3726185546875
NOVGOROD,783.2332153320312,0.09792863577604294,7998,0.09932450950145721,1783.8919712402346
BURYAT,644.5128173828125,0.11164261400699615,5773,0.11657752096652985,1467.9423928710937
MORDOVIA,626.6781616210938,0.10795489698648453,5805,0.10891212522983551,1427.322180908203
PRIMOR'YE,529.113525390625,0.13257667422294617,3991,0.13472887873649597,1205.1089654296875
SAKHA,502.24676513671875,0.08640061318874359,5813,0.10160837322473526,1143.9172322753905
KHABAROVSK,445.85009765625,0.12118785083293915,3679,0.12426142394542694,1015.4681824218751
ADYGEY,396.3399658203125,0.13163067400455475,3011,0.1320115178823471,902.7039061523438
RYAZAN',332.3202209472656,0.10740795731544495,3094,0.10873957723379135,756.8925352294921
CHECHNYA,252.81060791015625,0.13425947725772858,1883,0.13461872935295105,575.8014405761719
KHAKASS,247.61968994140625,0.10961473733186722,2259,0.11190453171730042,563.9786058105469
CHUKOT,235.58511352539062,0.06844425201416016,3442,0.06980320066213608,536.5686545654297
GORNO-ALTAY,178.34823608398438,0.11795518547296524,1512,0.11926252394914627,406.2059425048829
KARACHAY-CHERKESS,155.10040283203125,0.13382260501384735,1159,0.13512453436851501,353.2566774902344
LIPETSK,149.2331085205078,0.1126287579536438,1325,0.11290520429611206,339.8933279663086
PENZA,137.83810424804688,0.11098075658082962,1242,0.11180159449577332,313.94006623535154
YEVREY,132.0572052001953,0.12330271303653717,1071,0.12433301657438278,300.77349056396486
CITY OF ST. PETERSBURG,83.34315490722656,0.09385490417480469,888,0.0942162349820137,189.82236961669923
KABARDIN-BALKAR,46.66192626953125,0.1352519541978836,345,0.13547508418560028,106.27720327148437
NORTH OSSETIA,46.26422882080078,0.1364726573228836,339,0.1367150992155075,105.37140756225585
TUVA,43.021759033203125,0.11503144353628159,374,0.11797516793012619,97.98635837402342
