criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
biomass_resource,-30.0,0.3076,0.2153,0.9798,14551.19,True
biomass_resource,-20.0,0.3076,0.2461,0.9893,9786.26,True
biomass_resource,-10.0,0.3076,0.2768,0.9969,4897.07,True
biomass_resource,10.0,0.3076,0.3384,0.9738,15965.53,True
biomass_resource,20.0,0.3076,0.3691,0.8721,45889.79,False
biomass_resource,30.0,0.3076,0.3999,0.7746,66991.15,False
lc_biomass,-30.0,0.2255,0.1578,0.7536,70142.03,False
lc_biomass,-20.0,0.2255,0.1804,0.86,47377.88,False
lc_biomass,-10.0,0.2255,0.2029,0.9735,15377.21,True
lc_biomass,10.0,0.2255,0.248,0.9981,2472.7,True
lc_biomass,20.0,0.2255,0.2706,0.9941,3974.0,True
lc_biomass,30.0,0.2255,0.2931,0.9905,5108.61,True
road_suitability,-30.0,0.1615,0.1131,1.0,0.14,True
road_suitability,-20.0,0.1615,0.1292,1.0,0.14,True
road_suitability,-10.0,0.1615,0.1454,1.0,0.14,True
road_suitability,10.0,0.1615,0.1777,1.0,0.14,True
road_suitability,20.0,0.1615,0.1939,1.0,0.14,True
road_suitability,30.0,0.1615,0.21,1.0,0.15,True
river_biomass,-30.0,0.1111,0.0778,0.9998,1143.73,True
river_biomass,-20.0,0.1111,0.0889,0.9999,797.66,True
river_biomass,-10.0,0.1111,0.1,1.0,413.73,True
river_biomass,10.0,0.1111,0.1222,1.0,434.75,True
river_biomass,20.0,0.1111,0.1333,0.9999,883.89,True
river_biomass,30.0,0.1111,0.1444,0.9998,1343.74,True
grid_suitability,-30.0,0.0792,0.0554,0.9923,9121.6,True
grid_suitability,-20.0,0.0792,0.0634,0.9959,6203.87,True
grid_suitability,-10.0,0.0792,0.0713,0.9986,3144.62,True
grid_suitability,10.0,0.0792,0.0871,0.9985,3232.74,True
grid_suitability,20.0,0.0792,0.095,0.9955,6607.23,True
grid_suitability,30.0,0.0792,0.1029,0.9909,10310.32,True
pop_suitability,-30.0,0.0573,0.0401,1.0,86.08,True
pop_suitability,-20.0,0.0573,0.0458,1.0,61.11,True
pop_suitability,-10.0,0.0573,0.0516,1.0,32.49,True
pop_suitability,10.0,0.0573,0.063,1.0,36.21,True
pop_suitability,20.0,0.0573,0.0687,1.0,75.97,True
pop_suitability,30.0,0.0573,0.0745,1.0,119.47,True
terrain_score,-30.0,0.0326,0.0228,0.9998,1283.76,True
terrain_score,-20.0,0.0326,0.0261,0.9999,880.44,True
terrain_score,-10.0,0.0326,0.0294,1.0,449.57,True
terrain_score,10.0,0.0326,0.0359,1.0,461.91,True
terrain_score,20.0,0.0326,0.0392,0.9999,932.56,True
terrain_score,30.0,0.0326,0.0424,0.9998,1409.78,True
seismic_suitability,-30.0,0.0252,0.0176,1.0,354.86,True
seismic_suitability,-20.0,0.0252,0.0201,1.0,248.52,True
seismic_suitability,-10.0,0.0252,0.0227,1.0,129.92,True
seismic_suitability,10.0,0.0252,0.0277,1.0,140.1,True
seismic_suitability,20.0,0.0252,0.0302,1.0,289.5,True
seismic_suitability,30.0,0.0252,0.0327,1.0,447.7,True
