threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,4627387.0,694.108,4560.29,7723545,
0.35,4421604.5,663.241,4357.491,7303346,-0.458
0.4,4048470.8,607.271,3989.768,6518071,-0.923
0.45,3487059.0,523.059,3436.497,5348109,-1.472
0.5,2907760.2,436.164,2865.598,4301998,-1.803
0.55,2438349.5,365.752,2402.993,3591397,-2.066
0.6,1992007.9,298.801,1963.124,2917124,-3.137
0.65,1396841.2,209.526,1376.587,2053803,-5.501
0.7,809861.2,121.479,798.118,1215554,-8.633
0.75,398021.7,59.703,392.25,610977,-12.317
0.8,156224.7,23.434,153.959,232080,
