parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,0.5,0.35,41.792,274.575,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,0.5,0.4,47.763,313.8,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,0.5,0.45,53.733,353.025,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,0.5,0.55,65.674,431.475,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,0.5,0.6,71.644,470.7,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,0.5,0.65,77.614,509.925,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.3,0.21,41.792,274.575,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.3,0.24,47.763,313.8,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.3,0.27,53.733,353.025,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.3,0.33,65.674,431.475,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.3,0.36,71.644,470.7,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.3,0.39,77.614,509.925,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.75,0.525,59.703,274.575,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.75,0.6,59.703,313.8,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.75,0.675,59.703,353.025,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.75,0.825,59.703,431.475,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.75,0.9,59.703,470.7,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.75,0.975,59.703,509.925,0.0,30.0,0.0,1.0
