criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
solar_resource,-30.0,0.3314,0.232,0.8435,66205.25,False
solar_resource,-20.0,0.3314,0.2651,0.9291,44475.41,False
solar_resource,-10.0,0.3314,0.2983,0.984,21024.3,True
solar_resource,10.0,0.3314,0.3646,0.9878,18467.78,True
solar_resource,20.0,0.3314,0.3977,0.9598,33878.04,True
solar_resource,30.0,0.3314,0.4308,0.926,46292.31,False
grid_suitability,-30.0,0.2385,0.167,0.9326,43892.21,False
grid_suitability,-20.0,0.2385,0.1908,0.9673,30119.96,True
grid_suitability,-10.0,0.2385,0.2147,0.9914,15216.26,True
grid_suitability,10.0,0.2385,0.2624,0.9915,14817.46,True
grid_suitability,20.0,0.2385,0.2862,0.9667,29249.33,True
grid_suitability,30.0,0.2385,0.3101,0.9279,42810.75,False
terrain_score,-30.0,0.162,0.1134,0.9968,9242.3,True
terrain_score,-20.0,0.162,0.1296,0.9983,6616.64,True
terrain_score,-10.0,0.162,0.1458,0.9995,3543.41,True
terrain_score,10.0,0.162,0.1782,0.9994,4033.17,True
terrain_score,20.0,0.162,0.1944,0.9972,8570.67,True
terrain_score,30.0,0.162,0.2106,0.9929,13618.86,True
road_suitability,-30.0,0.109,0.0763,1.0,0.04,True
road_suitability,-20.0,0.109,0.0872,1.0,0.03,True
road_suitability,-10.0,0.109,0.0981,1.0,0.04,True
road_suitability,10.0,0.109,0.1199,1.0,0.04,True
road_suitability,20.0,0.109,0.1308,1.0,0.04,True
road_suitability,30.0,0.109,0.1417,1.0,0.04,True
river_solar,-30.0,0.0734,0.0514,0.9999,1623.33,True
river_solar,-20.0,0.0734,0.0587,0.9999,1156.32,True
river_solar,-10.0,0.0734,0.066,1.0,616.14,True
river_solar,10.0,0.0734,0.0807,1.0,694.75,True
river_solar,20.0,0.0734,0.088,0.9999,1471.18,True
river_solar,30.0,0.0734,0.0954,0.9998,2331.94,True
seismic_suitability,-30.0,0.0498,0.0349,1.0,490.84,True
seismic_suitability,-20.0,0.0498,0.0399,1.0,348.63,True
seismic_suitability,-10.0,0.0498,0.0448,1.0,185.34,True
seismic_suitability,10.0,0.0498,0.0548,1.0,207.62,True
seismic_suitability,20.0,0.0498,0.0598,1.0,437.63,True
seismic_suitability,30.0,0.0498,0.0648,1.0,690.86,True
pop_suitability,-30.0,0.0359,0.0251,1.0,46.81,True
pop_suitability,-20.0,0.0359,0.0287,1.0,33.25,True
pop_suitability,-10.0,0.0359,0.0323,1.0,17.73,True
pop_suitability,10.0,0.0359,0.0394,1.0,19.77,True
pop_suitability,20.0,0.0359,0.043,1.0,41.43,True
pop_suitability,30.0,0.0359,0.0466,1.0,65.2,True
