threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,2414588.0,4225.529,5182.189,3221432,
0.35,2171607.0,3800.312,4660.703,2882878,-0.92
0.4,1843691.5,3226.46,3956.931,2415024,-1.537
0.45,1463231.8,2560.656,3140.388,1881872,-2.214
0.5,1123776.1,1966.608,2411.848,1421160,-2.786
0.55,837067.7,1464.868,1796.515,1050253,-3.532
0.6,586287.2,1026.003,1258.29,735703,-5.117
0.65,337066.1,589.866,723.411,426573,-7.374
0.7,203911.4,356.845,437.635,259557,-6.177
0.75,157119.7,274.959,337.21,200801,-4.238
0.8,115131.6,201.48,247.095,147313,
