parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,35.0,24.5,192.472,236.047,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,35.0,28.0,219.968,269.768,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,35.0,31.5,247.463,303.489,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,35.0,38.5,302.455,370.931,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,35.0,42.0,329.951,404.652,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,35.0,45.5,357.447,438.373,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.05,0.035,192.472,236.047,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.05,0.04,219.968,269.768,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.05,0.045,247.463,303.489,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.05,0.055,302.455,370.931,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.05,0.06,329.951,404.652,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.05,0.065,357.447,438.373,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.14,0.098,274.959,236.047,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.14,0.112,274.959,269.768,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.14,0.126,274.959,303.489,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.14,0.154,274.959,370.931,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.14,0.168,274.959,404.652,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.14,0.182,274.959,438.373,0.0,30.0,0.0,1.0
