criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
wind_resource,-30.0,0.382,0.2674,0.9771,20147.49,True
wind_resource,-20.0,0.382,0.3056,0.9884,13534.43,True
wind_resource,-10.0,0.382,0.3438,0.9962,7162.95,True
wind_resource,10.0,0.382,0.4202,0.9954,7918.33,True
wind_resource,20.0,0.382,0.4584,0.983,16109.55,True
wind_resource,30.0,0.382,0.4967,0.964,24630.69,True
grid_suitability,-30.0,0.248,0.1736,0.9667,22110.37,True
grid_suitability,-20.0,0.248,0.1984,0.9857,13495.68,True
grid_suitability,-10.0,0.248,0.2232,0.9965,6172.27,True
grid_suitability,10.0,0.248,0.2728,0.9976,4799.51,True
grid_suitability,20.0,0.248,0.2976,0.9933,8185.18,True
grid_suitability,30.0,0.248,0.3224,0.9887,10773.95,True
terrain_score,-30.0,0.1582,0.1107,0.9989,5187.26,True
terrain_score,-20.0,0.1582,0.1265,0.9994,3681.14,True
terrain_score,-10.0,0.1582,0.1423,0.9998,1953.86,True
terrain_score,10.0,0.1582,0.174,0.9998,2184.28,True
terrain_score,20.0,0.1582,0.1898,0.9991,4595.23,True
terrain_score,30.0,0.1582,0.2056,0.9978,7230.13,True
road_suitability,-30.0,0.0983,0.0688,1.0,0.03,True
road_suitability,-20.0,0.0983,0.0786,1.0,0.03,True
road_suitability,-10.0,0.0983,0.0884,1.0,0.03,True
road_suitability,10.0,0.0983,0.1081,1.0,0.03,True
road_suitability,20.0,0.0983,0.1179,1.0,0.03,True
road_suitability,30.0,0.0983,0.1277,1.0,0.03,True
pop_suitability,-30.0,0.0614,0.0429,1.0,69.34,True
pop_suitability,-20.0,0.0614,0.0491,1.0,49.35,True
pop_suitability,-10.0,0.0614,0.0552,1.0,26.34,True
pop_suitability,10.0,0.0614,0.0675,1.0,29.53,True
pop_suitability,20.0,0.0614,0.0736,1.0,62.09,True
pop_suitability,30.0,0.0614,0.0798,1.0,97.92,True
seismic_suitability,-30.0,0.0314,0.022,1.0,124.53,True
seismic_suitability,-20.0,0.0314,0.0251,1.0,88.25,True
seismic_suitability,-10.0,0.0314,0.0283,1.0,46.85,True
seismic_suitability,10.0,0.0314,0.0345,1.0,52.11,True
seismic_suitability,20.0,0.0314,0.0377,1.0,109.28,True
seismic_suitability,30.0,0.0314,0.0408,1.0,171.79,True
river_wind,-30.0,0.0208,0.0145,1.0,93.09,True
river_wind,-20.0,0.0208,0.0166,1.0,65.88,True
river_wind,-10.0,0.0208,0.0187,1.0,34.86,True
river_wind,10.0,0.0208,0.0229,1.0,38.77,True
river_wind,20.0,0.0208,0.0249,1.0,81.41,True
river_wind,30.0,0.0208,0.027,1.0,128.01,True
