parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,5.0,3.5,108.471,247.053,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,5.0,4.0,123.967,282.346,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,5.0,4.5,139.462,317.639,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,5.0,5.5,170.454,388.226,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,5.0,6.0,185.95,423.519,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,5.0,6.5,201.446,458.812,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.03,0.021,108.471,247.053,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.03,0.024,123.967,282.346,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.03,0.027,139.462,317.639,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.03,0.033,170.454,388.226,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.03,0.036,185.95,423.519,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.03,0.039,201.446,458.812,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.26,0.182,154.958,247.053,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.26,0.208,154.958,282.346,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.26,0.234,154.958,317.639,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.26,0.286,154.958,388.226,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.26,0.312,154.958,423.519,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.26,0.338,154.958,458.812,0.0,30.0,0.0,1.0
