criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
biomass_resource,-30.0,0.3076,0.2153,0.9726,23034.07,True
biomass_resource,-20.0,0.3076,0.2461,0.9871,15571.78,True
biomass_resource,-10.0,0.3076,0.2768,0.9968,7667.63,True
biomass_resource,10.0,0.3076,0.3384,0.997,7314.73,True
biomass_resource,20.0,0.3076,0.3691,0.9882,14180.47,True
biomass_resource,30.0,0.3076,0.3999,0.9738,20672.05,True
lc_biomass,-30.0,0.2255,0.1578,0.9704,20435.5,True
lc_biomass,-20.0,0.2255,0.1804,0.9865,13270.64,True
lc_biomass,-10.0,0.2255,0.2029,0.9969,6070.08,True
lc_biomass,10.0,0.2255,0.248,0.9975,5161.91,True
lc_biomass,20.0,0.2255,0.2706,0.9911,10079.65,True
lc_biomass,30.0,0.2255,0.2931,0.9816,14698.37,True
road_suitability,-30.0,0.1615,0.1131,0.9964,8017.21,True
road_suitability,-20.0,0.1615,0.1292,0.9982,5613.2,True
road_suitability,-10.0,0.1615,0.1454,0.9995,2941.74,True
road_suitability,10.0,0.1615,0.1777,0.9994,3189.04,True
road_suitability,20.0,0.1615,0.1939,0.9976,6589.23,True
road_suitability,30.0,0.1615,0.21,0.9945,10128.55,True
river_biomass,-30.0,0.1111,0.0778,1.0,120.05,True
river_biomass,-20.0,0.1111,0.0889,1.0,86.14,True
river_biomass,-10.0,0.1111,0.1,1.0,46.34,True
river_biomass,10.0,0.1111,0.1222,1.0,53.04,True
river_biomass,20.0,0.1111,0.1333,1.0,112.92,True
river_biomass,30.0,0.1111,0.1444,1.0,180.37,True
grid_suitability,-30.0,0.0792,0.0554,0.997,8800.19,True
grid_suitability,-20.0,0.0792,0.0634,0.9985,6110.59,True
grid_suitability,-10.0,0.0792,0.0713,0.9996,3170.85,True
grid_suitability,10.0,0.0792,0.0871,0.9995,3389.71,True
grid_suitability,20.0,0.0792,0.095,0.998,6997.79,True
grid_suitability,30.0,0.0792,0.1029,0.9953,10832.55,True
pop_suitability,-30.0,0.0573,0.0401,1.0,137.61,True
pop_suitability,-20.0,0.0573,0.0458,1.0,97.85,True
pop_suitability,-10.0,0.0573,0.0516,1.0,52.12,True
pop_suitability,10.0,0.0573,0.063,1.0,58.36,True
pop_suitability,20.0,0.0573,0.0687,1.0,122.82,True
pop_suitability,30.0,0.0573,0.0745,1.0,193.81,True
terrain_score,-30.0,0.0326,0.0228,1.0,704.3,True
terrain_score,-20.0,0.0326,0.0261,1.0,498.55,True
terrain_score,-10.0,0.0326,0.0294,1.0,264.01,True
terrain_score,10.0,0.0326,0.0359,1.0,293.57,True
terrain_score,20.0,0.0326,0.0392,1.0,616.76,True
terrain_score,30.0,0.0326,0.0424,1.0,970.03,True
seismic_suitability,-30.0,0.0252,0.0176,1.0,319.51,True
seismic_suitability,-20.0,0.0252,0.0201,1.0,226.14,True
seismic_suitability,-10.0,0.0252,0.0227,1.0,119.75,True
seismic_suitability,10.0,0.0252,0.0277,1.0,132.78,True
seismic_suitability,20.0,0.0252,0.0302,1.0,278.35,True
seismic_suitability,30.0,0.0252,0.0327,1.0,437.1,True
