threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,931673.1,139.751,832.469,863630,
0.35,914577.7,137.187,817.193,847561,-0.124
0.4,899315.9,134.897,803.557,833266,-0.172
0.45,875894.2,131.384,782.629,811427,-0.334
0.5,834354.3,125.153,745.512,772898,-0.76
0.55,749088.5,112.363,669.326,694206,-1.424
0.6,640349.3,96.052,572.165,593914,-2.004
0.65,535199.1,80.28,478.211,496397,-2.989
0.7,394265.8,59.14,352.284,365146,-4.886
0.75,260015.8,39.002,232.329,240376,-6.753
0.8,160160.0,24.024,143.106,148003,
