parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,0.5,0.35,27.302,162.631,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,0.5,0.4,31.202,185.863,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,0.5,0.45,35.102,209.096,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,0.5,0.55,42.903,255.562,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,0.5,0.6,46.803,278.795,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,0.5,0.65,50.703,302.028,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.3,0.21,27.302,162.631,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.3,0.24,31.202,185.863,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.3,0.27,35.102,209.096,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.3,0.33,42.903,255.562,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.3,0.36,46.803,278.795,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.3,0.39,50.703,302.028,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.68,0.476,39.002,162.631,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.68,0.544,39.002,185.863,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.68,0.612,39.002,209.096,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.68,0.748,39.002,255.562,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.68,0.816,39.002,278.795,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.68,0.884,39.002,302.028,0.0,30.0,0.0,1.0
