criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
solar_resource,-30.0,0.3314,0.232,0.8876,52076.95,False
solar_resource,-20.0,0.3314,0.2651,0.9373,37491.61,False
solar_resource,-10.0,0.3314,0.2983,0.9835,18443.76,True
solar_resource,10.0,0.3314,0.3646,0.9894,15194.47,True
solar_resource,20.0,0.3314,0.3977,0.9654,28820.24,True
solar_resource,30.0,0.3314,0.4308,0.9307,42191.6,False
grid_suitability,-30.0,0.2385,0.167,0.9239,44743.38,False
grid_suitability,-20.0,0.2385,0.1908,0.9652,29084.27,True
grid_suitability,-10.0,0.2385,0.2147,0.9902,14579.95,True
grid_suitability,10.0,0.2385,0.2624,0.9876,15840.27,True
grid_suitability,20.0,0.2385,0.2862,0.9525,31968.49,True
grid_suitability,30.0,0.2385,0.3101,0.9163,43901.93,False
terrain_score,-30.0,0.162,0.1134,0.996,9228.96,True
terrain_score,-20.0,0.162,0.1296,0.998,6524.83,True
terrain_score,-10.0,0.162,0.1458,0.9994,3440.96,True
terrain_score,10.0,0.162,0.1782,0.9993,3769.3,True
terrain_score,20.0,0.162,0.1944,0.9971,7838.09,True
terrain_score,30.0,0.162,0.2106,0.9931,12180.97,True
road_suitability,-30.0,0.109,0.0763,0.9992,3854.29,True
road_suitability,-20.0,0.109,0.0872,0.9996,2756.4,True
road_suitability,-10.0,0.109,0.0981,0.9999,1472.57,True
road_suitability,10.0,0.109,0.1199,0.9998,1665.62,True
road_suitability,20.0,0.109,0.1308,0.9993,3531.52,True
road_suitability,30.0,0.109,0.1417,0.9983,5603.26,True
river_solar,-30.0,0.0734,0.0514,0.9997,2840.24,True
river_solar,-20.0,0.0734,0.0587,0.9998,2021.78,True
river_solar,-10.0,0.0734,0.066,1.0,1076.07,True
river_solar,10.0,0.0734,0.0807,0.9999,1209.09,True
river_solar,20.0,0.0734,0.088,0.9998,2553.58,True
river_solar,30.0,0.0734,0.0954,0.9994,4033.65,True
seismic_suitability,-30.0,0.0498,0.0349,1.0,824.91,True
seismic_suitability,-20.0,0.0498,0.0399,1.0,586.41,True
seismic_suitability,-10.0,0.0498,0.0448,1.0,311.82,True
seismic_suitability,10.0,0.0498,0.0548,1.0,350.1,True
seismic_suitability,20.0,0.0498,0.0598,1.0,739.29,True
seismic_suitability,30.0,0.0498,0.0648,0.9999,1168.77,True
pop_suitability,-30.0,0.0359,0.0251,1.0,64.59,True
pop_suitability,-20.0,0.0359,0.0287,1.0,45.89,True
pop_suitability,-10.0,0.0359,0.0323,1.0,24.48,True
pop_suitability,10.0,0.0359,0.0394,1.0,27.29,True
pop_suitability,20.0,0.0359,0.043,1.0,57.1,True
pop_suitability,30.0,0.0359,0.0466,1.0,89.8,True
