threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,998151.2,2245.84,4524.919,925945,
0.35,972017.0,2187.038,4406.445,901389,-0.249
0.4,928960.8,2090.162,4211.258,861115,-0.46
0.45,865277.4,1946.874,3922.562,801647,-0.916
0.5,752779.9,1693.755,3412.577,696211,-2.27
0.55,523513.0,1177.904,2373.241,483328,-3.642
0.6,406117.3,913.764,1841.051,374592,-2.957
0.65,323362.7,727.566,1465.9,298295,-3.555
0.7,229259.7,515.834,1039.303,211801,-5.631
0.75,138953.6,312.646,629.918,128702,-8.591
0.8,70084.7,157.69,317.715,64873,
