parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,45.0,31.5,218.852,440.943,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,45.0,36.0,250.116,503.935,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,45.0,40.5,281.381,566.926,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,45.0,49.5,343.91,692.91,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,45.0,54.0,375.175,755.902,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,45.0,58.5,406.439,818.894,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.05,0.035,218.852,440.943,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.05,0.04,250.116,503.935,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.05,0.045,281.381,566.926,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.05,0.055,343.91,692.91,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.05,0.06,375.175,755.902,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.05,0.065,406.439,818.894,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.23,0.161,312.646,440.943,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.23,0.184,312.646,503.935,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.23,0.207,312.646,566.926,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.23,0.253,312.646,692.91,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.23,0.276,312.646,755.902,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.23,0.299,312.646,818.894,0.0,30.0,0.0,1.0
