criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
wind_resource,-30.0,0.382,0.2674,0.8226,70736.51,False
wind_resource,-20.0,0.382,0.3056,0.9288,44909.33,False
wind_resource,-10.0,0.382,0.3438,0.9854,20338.27,True
wind_resource,10.0,0.382,0.4202,0.9915,15679.29,True
wind_resource,20.0,0.382,0.4584,0.974,27558.49,True
wind_resource,30.0,0.382,0.4967,0.9548,36621.79,True
grid_suitability,-30.0,0.248,0.1736,0.9559,36474.54,True
grid_suitability,-20.0,0.248,0.1984,0.9768,26250.57,True
grid_suitability,-10.0,0.248,0.2232,0.9932,14095.62,True
grid_suitability,10.0,0.248,0.2728,0.9913,15736.56,True
grid_suitability,20.0,0.248,0.2976,0.9632,32274.83,True
grid_suitability,30.0,0.248,0.3224,0.9173,48449.06,False
terrain_score,-30.0,0.1582,0.1107,0.9981,6968.12,True
terrain_score,-20.0,0.1582,0.1265,0.999,4998.69,True
terrain_score,-10.0,0.1582,0.1423,0.9997,2682.01,True
terrain_score,10.0,0.1582,0.174,0.9996,3061.87,True
terrain_score,20.0,0.1582,0.1898,0.9984,6517.09,True
terrain_score,30.0,0.1582,0.2056,0.9959,10378.02,True
road_suitability,-30.0,0.0983,0.0688,0.9998,1984.94,True
road_suitability,-20.0,0.0983,0.0786,0.9999,1419.13,True
road_suitability,-10.0,0.0983,0.0884,1.0,759.24,True
road_suitability,10.0,0.0983,0.1081,1.0,863.21,True
road_suitability,20.0,0.0983,0.1179,0.9998,1834.74,True
road_suitability,30.0,0.0983,0.1277,0.9996,2920.18,True
pop_suitability,-30.0,0.0614,0.0429,1.0,176.77,True
pop_suitability,-20.0,0.0614,0.0491,1.0,125.79,True
pop_suitability,-10.0,0.0614,0.0552,1.0,67.02,True
pop_suitability,10.0,0.0614,0.0675,1.0,75.26,True
pop_suitability,20.0,0.0614,0.0736,1.0,158.68,True
pop_suitability,30.0,0.0614,0.0798,1.0,250.79,True
seismic_suitability,-30.0,0.0314,0.022,1.0,204.62,True
seismic_suitability,-20.0,0.0314,0.0251,1.0,145.12,True
seismic_suitability,-10.0,0.0314,0.0283,1.0,77.09,True
seismic_suitability,10.0,0.0314,0.0345,1.0,85.94,True
seismic_suitability,20.0,0.0314,0.0377,1.0,180.66,True
seismic_suitability,30.0,0.0314,0.0408,1.0,284.64,True
river_wind,-30.0,0.0208,0.0145,1.0,129.29,True
river_wind,-20.0,0.0208,0.0166,1.0,91.54,True
river_wind,-10.0,0.0208,0.0187,1.0,48.47,True
river_wind,10.0,0.0208,0.0229,1.0,53.88,True
river_wind,20.0,0.0208,0.0249,1.0,113.23,True
river_wind,30.0,0.0208,0.027,1.0,178.14,True
