threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,906467.6,163.164,543.141,842671,
0.35,807773.9,145.399,484.005,752099,-1.072
0.4,659013.5,118.622,394.87,615454,-1.857
0.45,501784.0,90.321,300.661,470252,-2.636
0.5,365083.1,65.715,218.752,343362,-3.253
0.55,264268.0,47.568,158.345,249245,-3.784
0.6,183281.5,32.991,109.819,173304,-5.291
0.65,102656.2,18.478,61.51,97219,-7.332
0.7,67490.4,12.148,40.439,64013,-6.362
0.75,41314.5,7.437,24.755,39260,-8.382
0.8,21318.3,3.837,12.774,20304,
