parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,6.0,4.2,5.206,17.328,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,6.0,4.8,5.949,19.804,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,6.0,5.4,6.693,22.279,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,6.0,6.6,8.18,27.23,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,6.0,7.2,8.924,29.706,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,6.0,7.8,9.668,32.181,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.03,0.021,5.206,17.328,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.03,0.024,5.949,19.804,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.03,0.027,6.693,22.279,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.03,0.033,8.18,27.23,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.03,0.036,8.924,29.706,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.03,0.039,9.668,32.181,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.38,0.266,7.437,17.328,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.38,0.304,7.437,19.804,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.38,0.342,7.437,22.279,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.38,0.418,7.437,27.23,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.38,0.456,7.437,29.706,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.38,0.494,7.437,32.181,0.0,30.0,0.0,1.0
