year,country_code,scenario,total_fleet_all_cats,stock_bev_all,stock_hev_all,stock_phev_all,stock_ice_all,stock_fcev_all,ev_electricity_demand_twh,re_needed_total_gw,re_needed_solar_gw,re_needed_wind_gw,re_cumulative_solar_gw,re_cumulative_wind_gw,re_delta_solar_gw,re_delta_wind_gw,re_avail_solar_gw,re_avail_wind_gw,re_avail_biomass_gw,re_sufficiency_solar_pct,re_sufficiency_wind_pct,co2_total_mtco2eq,co2_ice_mtco2eq,co2_hev_mtco2eq,co2_phev_mtco2eq,co2_bev_indirect_mtco2eq,co2_baseline_mtco2eq,co2_avoided_mtco2eq,grid_intensity_gco2_kwh,annual_capex_bn_usd,fuel_savings_bn_usd,net_annual_cost_bn_usd,abatement_cost_usd_tco2,cumulative_capex_bn_usd,cumulative_savings_bn_usd,lcoe_solar_usd_mwh,lcoe_wind_usd_mwh,cost_method
2025,ZAF,reference,10015600,294000,784000,196000,8526000,0,0.8293,0.374,0.28,0.095,0.28,0.095,0.2797,0.0947,312.65,7.44,39.0,100,100,26.0521,23.8133,1.4182,0.1502,0.6704,124.7431,98.691,850.0,0.044,0.019,0.025,0.25,0.04,0.02,55.0,48.0,lcoe
2026,ZAF,reference,10235943,301108,793162,200294,8518474,1335,0.8492,0.383,0.286,0.097,0.286,0.097,0.0064,0.0019,312.65,7.44,39.0,100,100,26.0383,23.7923,1.4348,0.152,0.6592,127.4874,101.4491,816.0,0.045,0.019,0.025,0.25,0.09,0.04,55.0,48.0,lcoe
2027,ZAF,reference,10461134,315154,811254,208777,8503316,3976,0.8887,0.401,0.3,0.101,0.3,0.101,0.0137,0.0044,312.65,7.44,39.0,100,100,26.0357,23.75,1.4675,0.157,0.6612,130.2922,104.2565,782.0,0.047,0.02,0.026,0.25,0.13,0.06,55.0,48.0,lcoe
2028,ZAF,reference,10691279,335988,838070,221361,8480408,7895,0.9472,0.428,0.319,0.108,0.319,0.108,0.0195,0.0071,312.65,7.44,39.0,100,100,26.0412,23.686,1.516,0.1649,0.6742,133.1586,107.1174,748.0,0.05,0.022,0.028,0.26,0.18,0.08,55.0,48.0,lcoe
2029,ZAF,reference,10926487,363482,873431,237964,8449611,13071,1.0244,0.462,0.345,0.117,0.345,0.117,0.0265,0.0089,312.65,7.44,39.0,100,100,26.0518,23.6,1.58,0.1756,0.6962,136.0881,110.0362,714.0,0.054,0.023,0.03,0.28,0.24,0.1,55.0,48.0,lcoe
2030,ZAF,reference,11166870,397524,917183,258522,8410775,19484,1.12,0.506,0.378,0.128,0.378,0.128,0.0327,0.0108,312.65,7.44,39.0,100,100,26.0648,23.4915,1.6591,0.189,0.7252,139.082,113.0172,680.0,0.059,0.026,0.033,0.29,0.3,0.13,55.0,48.0,lcoe
2031,ZAF,reference,11412541,442491,969195,282976,8360755,25630,1.2457,0.562,0.42,0.142,0.42,0.142,0.0421,0.0142,312.65,7.44,39.0,100,100,26.0693,23.3518,1.7532,0.2045,0.7597,142.1418,116.0726,640.0,0.065,0.029,0.037,0.32,0.36,0.16,55.0,48.0,lcoe
2032,ZAF,reference,11663617,498205,1029359,311283,8299436,31529,1.401,0.632,0.473,0.16,0.473,0.16,0.0525,0.0179,312.65,7.44,39.0,100,100,26.0669,23.1805,1.862,0.2224,0.8019,145.2689,119.202,600.0,0.074,0.032,0.042,0.35,0.44,0.19,55.0,48.0,lcoe
2033,ZAF,reference,11920216,564521,1097588,343406,8226681,37203,1.5855,0.716,0.535,0.181,0.535,0.181,0.0618,0.021,312.65,7.44,39.0,100,100,26.0534,22.9773,1.9855,0.2425,0.8481,148.4649,122.4115,560.0,0.083,0.036,0.047,0.38,0.52,0.23,55.0,48.0,lcoe
2034,ZAF,reference,12182461,641320,1173816,379319,8142330,42670,1.799,0.812,0.607,0.205,0.607,0.205,0.0718,0.0244,312.65,7.44,39.0,100,100,26.0245,22.7417,2.1234,0.2647,0.8947,151.7311,125.7066,520.0,0.095,0.041,0.053,0.42,0.61,0.27,55.0,48.0,lcoe
2035,ZAF,reference,12450475,728512,1257994,419004,8046198,47947,2.0411,0.921,0.688,0.233,0.688,0.233,0.0814,0.028,312.65,7.44,39.0,100,100,25.9759,22.4732,2.2756,0.2889,0.9381,155.0692,129.0932,480.0,0.107,0.047,0.06,0.47,0.72,0.31,55.0,48.0,lcoe
2036,ZAF,reference,12724386,831010,1346774,460793,7938081,53051,2.3248,1.049,0.784,0.265,0.784,0.265,0.0961,0.0324,312.65,7.44,39.0,100,100,25.9117,22.1713,2.4362,0.3143,0.9899,158.4807,132.569,444.0,0.122,0.053,0.069,0.52,0.84,0.37,55.0,48.0,lcoe
2037,ZAF,reference,13004322,948661,1440221,504723,7817753,57997,2.6495,1.196,0.894,0.302,0.894,0.302,0.1096,0.0375,312.65,7.44,39.0,100,100,25.8193,21.8352,2.6053,0.3405,1.0384,161.9673,136.1479,408.0,0.139,0.061,0.079,0.58,0.98,0.43,55.0,48.0,lcoe
2038,ZAF,reference,13290417,1081349,1538404,550835,7684965,62800,3.015,1.361,1.017,0.344,1.017,0.344,0.1229,0.0422,312.65,7.44,39.0,100,100,25.6939,21.4643,2.7829,0.3675,1.0792,165.5305,139.8367,372.0,0.158,0.069,0.089,0.64,1.14,0.5,55.0,48.0,lcoe
2039,ZAF,reference,13582806,1228994,1641402,599171,7539449,67474,3.4211,1.544,1.154,0.391,1.154,0.391,0.1369,0.0465,312.65,7.44,39.0,100,100,25.5302,21.0579,2.9692,0.3953,1.1078,169.1722,143.642,336.0,0.18,0.078,0.101,0.71,1.32,0.58,55.0,48.0,lcoe
2040,ZAF,reference,13881628,1391551,1749300,649778,7380917,72030,3.8677,1.746,1.304,0.442,1.304,0.442,0.1505,0.0505,312.65,7.44,39.0,100,100,25.3233,20.6151,3.1644,0.4238,1.12,172.894,147.5707,300.0,0.203,0.089,0.115,0.78,1.52,0.66,55.0,48.0,lcoe
2041,ZAF,reference,14187024,1572712,1856637,700855,7210910,78334,4.3642,1.97,1.472,0.498,1.472,0.498,0.168,0.0562,312.65,7.44,39.0,100,100,25.0908,20.1403,3.3585,0.4528,1.1392,176.6977,151.6069,270.0,0.229,0.1,0.129,0.85,1.75,0.76,55.0,48.0,lcoe
2042,ZAF,reference,14499139,1772413,1963637,752495,7029056,86353,4.9107,2.217,1.656,0.561,1.656,0.561,0.1843,0.0626,312.65,7.44,39.0,100,100,24.8071,19.6323,3.5521,0.4815,1.1412,180.585,155.7779,240.0,0.258,0.113,0.145,0.93,2.01,0.88,55.0,48.0,lcoe
2043,ZAF,reference,14818120,1990632,2070514,804789,6834969,96062,5.5069,2.486,1.857,0.629,1.857,0.629,0.2014,0.0676,312.65,7.44,39.0,100,100,24.4671,19.0903,3.7454,0.51,1.1215,184.5579,160.0908,210.0,0.289,0.126,0.163,1.02,2.3,1.0,55.0,48.0,lcoe
2044,ZAF,reference,15144118,2227388,2177472,857827,6628249,107439,6.1531,2.778,2.075,0.702,2.075,0.702,0.2183,0.0734,312.65,7.44,39.0,100,100,24.0656,18.5129,3.9389,0.5382,1.0756,188.6182,164.5525,180.0,0.323,0.141,0.182,1.11,2.62,1.14,55.0,48.0,lcoe
2045,ZAF,reference,15477289,2482739,2284709,911695,6408479,120469,6.8492,3.092,2.31,0.782,2.31,0.782,0.2351,0.0799,312.65,7.44,39.0,100,100,23.5974,17.8991,4.1329,0.5664,0.9991,192.7678,169.1703,150.0,0.36,0.157,0.203,1.2,2.98,1.3,55.0,48.0,lcoe
2046,ZAF,reference,15817789,2756778,2386223,962352,6187611,133074,7.5949,3.429,2.562,0.867,2.562,0.867,0.2516,0.085,312.65,7.44,39.0,100,100,23.1692,17.2822,4.3165,0.5943,0.9762,197.0087,173.8394,132.0,0.399,0.174,0.225,1.29,3.38,1.48,55.0,48.0,lcoe
2047,ZAF,reference,16165781,3049635,2482335,1009974,5964917,145293,8.3904,3.788,2.83,0.958,2.83,0.958,0.2679,0.0908,312.65,7.44,39.0,100,100,22.7032,16.6602,4.4904,0.6199,0.9327,201.3429,178.6397,114.0,0.441,0.192,0.249,1.39,3.82,1.67,55.0,48.0,lcoe
2048,ZAF,reference,16521428,3361476,2573343,1054725,5739691,157161,9.2363,4.17,3.115,1.054,3.115,1.054,0.2852,0.0964,312.65,7.44,39.0,100,100,22.1953,16.0311,4.655,0.6435,0.8657,205.7724,183.5771,96.0,0.485,0.212,0.274,1.49,4.31,1.88,55.0,48.0,lcoe
2049,ZAF,reference,16884899,3692497,2659521,1096756,5511245,168712,10.133,4.574,3.418,1.157,3.418,1.157,0.3026,0.1027,312.65,7.44,39.0,100,100,21.6417,15.3931,4.8109,0.665,0.7727,210.2994,188.6577,78.0,0.532,0.232,0.3,1.59,4.84,2.11,55.0,48.0,lcoe
2050,ZAF,reference,17256367,4042931,2741122,1136205,5278908,179978,11.0813,5.002,3.737,1.265,3.737,1.265,0.3195,0.108,312.65,7.44,39.0,100,100,21.0381,14.7441,4.9585,0.6847,0.6508,214.926,193.8878,60.0,0.582,0.254,0.328,1.69,5.42,2.37,55.0,48.0,lcoe
2025,ZAF,accelerated,10015600,588000,980000,392000,7840000,0,1.6586,0.749,0.559,0.189,0.559,0.189,0.5594,0.1893,312.65,7.44,39.0,100,100,25.3112,21.8973,1.7728,0.3003,1.3408,124.7431,99.4318,850.0,0.087,0.038,0.049,0.49,0.09,0.04,55.0,48.0,lcoe
2026,ZAF,accelerated,10235943,604887,992121,397917,7818113,1335,1.7051,0.77,0.575,0.195,0.575,0.195,0.0161,0.0056,312.65,7.44,39.0,100,100,25.2571,21.8362,1.7947,0.3021,1.3242,127.4874,102.2303,816.0,0.09,0.039,0.051,0.49,0.18,0.08,55.0,48.0,lcoe
2027,ZAF,accelerated,10461134,638260,1016056,409603,7774583,3976,1.7971,0.811,0.606,0.205,0.606,0.205,0.0311,0.0101,312.65,7.44,39.0,100,100,25.1997,21.7146,1.838,0.308,1.339,130.2922,105.0925,782.0,0.094,0.041,0.053,0.51,0.27,0.12,55.0,48.0,lcoe
2028,ZAF,accelerated,10691279,687768,1051535,426930,7709593,7895,1.9335,0.873,0.652,0.221,0.652,0.221,0.0461,0.0157,312.65,7.44,39.0,100,100,25.1335,21.5331,1.9022,0.3181,1.3801,133.1586,108.0251,748.0,0.102,0.044,0.057,0.53,0.37,0.16,55.0,48.0,lcoe
2029,ZAF,accelerated,10926487,753106,1098324,449786,7623272,13071,2.1135,0.954,0.713,0.241,0.713,0.241,0.0608,0.0203,312.65,7.44,39.0,100,100,25.0533,21.292,1.9868,0.3319,1.4426,136.0881,111.0348,714.0,0.111,0.048,0.063,0.56,0.48,0.21,55.0,48.0,lcoe
2030,ZAF,accelerated,11166870,834017,1156220,478075,7515691,19484,2.3364,1.055,0.788,0.267,0.788,0.267,0.075,0.0257,312.65,7.44,39.0,100,100,24.954,20.9915,2.0915,0.3494,1.5215,139.082,114.128,680.0,0.123,0.054,0.069,0.61,0.61,0.26,55.0,48.0,lcoe
2031,ZAF,accelerated,11412541,936241,1219097,511716,7386874,27119,2.6176,1.182,0.883,0.299,0.883,0.299,0.0949,0.0318,312.65,7.44,39.0,100,100,24.8143,20.6317,2.2053,0.3698,1.6075,142.1418,117.3275,640.0,0.138,0.06,0.078,0.66,0.74,0.32,55.0,48.0,lcoe
2032,ZAF,accelerated,11663617,1059468,1286948,550642,7236792,35962,2.9562,1.335,0.997,0.337,0.997,0.337,0.1141,0.0385,312.65,7.44,39.0,100,100,24.6393,20.2126,2.328,0.3934,1.7054,145.2689,120.6296,600.0,0.155,0.068,0.088,0.73,0.9,0.39,55.0,48.0,lcoe
2033,ZAF,accelerated,11920216,1203448,1359776,594800,7065369,46006,3.3516,1.513,1.13,0.383,1.13,0.383,0.1334,0.0456,312.65,7.44,39.0,100,100,24.4215,19.7338,2.4598,0.42,1.808,148.4649,124.0434,560.0,0.176,0.077,0.099,0.8,1.08,0.47,55.0,48.0,lcoe
2034,ZAF,accelerated,12182461,1367980,1437597,644151,6872483,57243,3.8033,1.717,1.283,0.434,1.283,0.434,0.1528,0.0512,312.65,7.44,39.0,100,100,24.1534,19.195,2.6005,0.4495,1.9084,151.7311,127.5776,520.0,0.2,0.087,0.113,0.88,1.28,0.56,55.0,48.0,lcoe
2035,ZAF,accelerated,12450475,1552917,1520433,698667,6657967,69670,4.3107,1.946,1.454,0.492,1.454,0.492,0.1709,0.0581,312.65,7.44,39.0,100,100,23.8277,18.5959,2.7504,0.4818,1.9997,155.0692,131.2414,480.0,0.227,0.099,0.128,0.97,1.5,0.66,55.0,48.0,lcoe
2036,ZAF,accelerated,12724386,1763141,1598358,751693,6433231,83286,4.8856,2.206,1.648,0.558,1.648,0.558,0.1938,0.0657,312.65,7.44,39.0,100,100,23.4724,17.9682,2.8913,0.5127,2.1001,158.4807,135.0083,444.0,0.257,0.112,0.145,1.07,1.76,0.77,55.0,48.0,lcoe
2037,ZAF,accelerated,13004322,1998488,1671639,803375,6197759,98093,5.5277,2.495,1.864,0.631,1.864,0.631,0.2164,0.073,312.65,7.44,39.0,100,100,23.0639,17.3105,3.0239,0.542,2.1875,161.9673,138.9034,408.0,0.29,0.127,0.164,1.18,2.05,0.89,55.0,48.0,lcoe
2038,ZAF,accelerated,13290417,2258853,1740523,853852,5951031,114094,6.2366,2.815,2.103,0.712,2.103,0.712,0.2395,0.0809,312.65,7.44,39.0,100,100,22.5939,16.6214,3.1485,0.5697,2.2543,165.5305,142.9367,372.0,0.328,0.143,0.185,1.29,2.38,1.04,55.0,48.0,lcoe
