year,country_code,vehicle_category,scenario,total_fleet,stock_ice,stock_hev,stock_phev,stock_bev,stock_fcev,bev_stock,non_ev_stock,bev_share_pct,electrified_share_pct,new_sales_bev_pct,new_sales_hev_pct,new_sales_phev_pct,new_sales_ice_pct,new_sales_fcev_pct
2025,ZAF,passenger_car,reference,10015600,8526000,784000,196000,294000,0,294000,9310000,2.94,12.72,3.0,8.0,2.0,87.0,0.0
2026,ZAF,passenger_car,reference,10235943,8518474,793162,200294,301108,1335,301108,9311636,2.94,12.66,4.0,9.2,2.6,84.0,0.2
2027,ZAF,passenger_car,reference,10461134,8503316,811254,208777,315154,3976,315154,9314570,3.01,12.8,5.0,10.4,3.2,81.0,0.4
2028,ZAF,passenger_car,reference,10691279,8480408,838070,221361,335988,7895,335988,9318477,3.14,13.13,6.0,11.6,3.8,78.0,0.6
2029,ZAF,passenger_car,reference,10926487,8449611,873431,237964,363482,13071,363482,9323042,3.33,13.62,7.0,12.8,4.4,75.0,0.8
2030,ZAF,passenger_car,reference,11166870,8410775,917183,258522,397524,19484,397524,9327958,3.56,14.26,8.0,14.0,5.0,72.0,1.0
2031,ZAF,passenger_car,reference,11412541,8360755,969195,282976,442491,25630,442491,9329950,3.88,15.07,9.6,15.2,5.6,68.6,1.0
2032,ZAF,passenger_car,reference,11663617,8299436,1029359,311283,498205,31529,498205,9328795,4.27,16.04,11.2,16.4,6.2,65.2,1.0
2033,ZAF,passenger_car,reference,11920216,8226681,1097588,343406,564521,37203,564521,9324270,4.74,17.14,12.8,17.6,6.8,61.8,1.0
2034,ZAF,passenger_car,reference,12182461,8142330,1173816,379319,641320,42670,641320,9316145,5.26,18.36,14.4,18.8,7.4,58.4,1.0
2035,ZAF,passenger_car,reference,12450475,8046198,1257994,419004,728512,47947,728512,9304192,5.85,19.71,16.0,20.0,8.0,55.0,1.0
2036,ZAF,passenger_car,reference,12724386,7938081,1346774,460793,831010,53051,831010,9284856,6.53,21.15,18.2,20.8,8.4,51.6,1.0
2037,ZAF,passenger_car,reference,13004322,7817753,1440221,504723,948661,57997,948661,9257973,7.29,22.7,20.4,21.6,8.8,48.2,1.0
2038,ZAF,passenger_car,reference,13290417,7684965,1538404,550835,1081349,62800,1081349,9223369,8.14,24.33,22.6,22.4,9.2,44.8,1.0
2039,ZAF,passenger_car,reference,13582806,7539449,1641402,599171,1228994,67474,1228994,9180851,9.05,26.04,24.8,23.2,9.6,41.4,1.0
2040,ZAF,passenger_car,reference,13881628,7380917,1749300,649778,1391551,72030,1391551,9130217,10.02,27.83,27.0,24.0,10.0,38.0,1.0
2041,ZAF,passenger_car,reference,14187024,7210910,1856637,700855,1572712,78334,1572712,9067547,11.09,29.66,29.6,24.2,10.2,34.8,1.2
2042,ZAF,passenger_car,reference,14499139,7029056,1963637,752495,1772413,86353,1772413,8992693,12.22,31.55,32.2,24.4,10.4,31.6,1.4
2043,ZAF,passenger_car,reference,14818120,6834969,2070514,804789,1990632,96062,1990632,8905483,13.43,33.49,34.8,24.6,10.6,28.4,1.6
2044,ZAF,passenger_car,reference,15144118,6628249,2177472,857827,2227388,107439,2227388,8805721,14.71,35.46,37.4,24.8,10.8,25.2,1.8
2045,ZAF,passenger_car,reference,15477289,6408479,2284709,911695,2482739,120469,2482739,8693189,16.04,37.47,40.0,25.0,11.0,22.0,2.0
2046,ZAF,passenger_car,reference,15817789,6187611,2386223,962352,2756778,133074,2756778,8573834,17.43,39.44,42.6,24.6,10.8,20.0,2.0
2047,ZAF,passenger_car,reference,16165781,5964917,2482335,1009974,3049635,145293,3049635,8447252,18.86,41.37,45.2,24.2,10.6,18.0,2.0
2048,ZAF,passenger_car,reference,16521428,5739691,2573343,1054725,3361476,157161,3361476,8313034,20.35,43.26,47.8,23.8,10.4,16.0,2.0
2049,ZAF,passenger_car,reference,16884899,5511245,2659521,1096756,3692497,168712,3692497,8170766,21.87,45.11,50.4,23.4,10.2,14.0,2.0
2050,ZAF,passenger_car,reference,17256367,5278908,2741122,1136205,4042931,179978,4042931,8020030,23.43,46.94,53.0,23.0,10.0,12.0,2.0
2025,ZAF,passenger_car,accelerated,10015600,7840000,980000,392000,588000,0,588000,8820000,5.87,19.57,6.0,10.0,4.0,80.0,0.0
2026,ZAF,passenger_car,accelerated,10235943,7818113,992121,397917,604887,1335,604887,8810234,5.91,19.5,8.4,11.6,4.8,75.0,0.2
2027,ZAF,passenger_car,accelerated,10461134,7774583,1016056,409603,638260,3976,638260,8790639,6.1,19.77,10.8,13.2,5.6,70.0,0.4
2028,ZAF,passenger_car,accelerated,10691279,7709593,1051535,426930,687768,7895,687768,8761128,6.43,20.34,13.2,14.8,6.4,65.0,0.6
2029,ZAF,passenger_car,accelerated,10926487,7623272,1098324,449786,753106,13071,753106,8721596,6.89,21.18,15.6,16.4,7.2,60.0,0.8
2030,ZAF,passenger_car,accelerated,11166870,7515691,1156220,478075,834017,19484,834017,8671912,7.47,22.28,18.0,18.0,8.0,55.0,1.0
2031,ZAF,passenger_car,accelerated,11412541,7386874,1219097,511716,936241,27119,936241,8605971,8.2,23.61,21.2,18.8,8.8,50.0,1.2
2032,ZAF,passenger_car,accelerated,11663617,7236792,1286948,550642,1059468,35962,1059468,8523740,9.08,25.15,24.4,19.6,9.6,45.0,1.4
2033,ZAF,passenger_car,accelerated,11920216,7065369,1359776,594800,1203448,46006,1203448,8425146,10.1,26.88,27.6,20.4,10.4,40.0,1.6
2034,ZAF,passenger_car,accelerated,12182461,6872483,1437597,644151,1367980,57243,1367980,8310080,11.23,28.79,30.8,21.2,11.2,35.0,1.8
2035,ZAF,passenger_car,accelerated,12450475,6657967,1520433,698667,1552917,69670,1552917,8178400,12.47,30.86,34.0,22.0,12.0,30.0,2.0
2036,ZAF,passenger_car,accelerated,12724386,6433231,1598358,751693,1763141,83286,1763141,8031589,13.86,32.98,37.8,21.6,12.0,26.4,2.2
2037,ZAF,passenger_car,accelerated,13004322,6197759,1671639,803375,1998488,98093,1998488,7869398,15.37,35.15,41.6,21.2,12.0,22.8,2.4
2038,ZAF,passenger_car,accelerated,13290417,5951031,1740523,853852,2258853,114094,2258853,7691553,17.0,37.38,45.4,20.8,12.0,19.2,2.6
2039,ZAF,passenger_car,accelerated,13582806,5692516,1805238,903252,2544188,131297,2544188,7497753,18.73,39.64,49.2,20.4,12.0,15.6,2.8
2040,ZAF,passenger_car,accelerated,13881628,5421677,1865993,951697,2854502,149709,2854502,7287669,20.56,41.94,53.0,20.0,12.0,12.0,3.0
2041,ZAF,passenger_car,accelerated,14187024,5154627,1917427,993751,3186151,167492,3186151,7072054,22.46,44.16,56.4,19.0,11.4,10.2,3.0
2042,ZAF,passenger_car,accelerated,14499139,4890432,1959843,1029648,3539330,184700,3539330,6850275,24.41,46.3,59.8,18.0,10.8,8.4,3.0
2043,ZAF,passenger_car,accelerated,14818120,4628200,1993510,1059599,3914272,201385,3914272,6621710,26.42,48.38,63.2,17.0,10.2,6.6,3.0
2044,ZAF,passenger_car,accelerated,15144118,4367071,2018669,1083795,4311245,217595,4311245,6385741,28.47,50.39,66.6,16.0,9.6,4.8,3.0
2045,ZAF,passenger_car,accelerated,15477289,4106221,2035533,1102406,4730554,233377,4730554,6141754,30.56,52.35,70.0,15.0,9.0,3.0,3.0
2046,ZAF,passenger_car,accelerated,15817789,3857237,2044285,1115585,5160157,248773,5160157,5901522,32.62,54.17,72.2,14.0,8.4,2.4,3.0
2047,ZAF,passenger_car,accelerated,16165781,3619069,2045087,1123466,5600709,263824,5600709,5664156,34.65,55.88,74.4,13.0,7.8,1.8,3.0
2048,ZAF,passenger_car,accelerated,16521428,3390730,2038074,1126164,6052861,278567,6052861,5428805,36.64,57.47,76.6,12.0,7.2,1.2,3.0
2049,ZAF,passenger_car,accelerated,16884899,3171290,2023360,1123780,6517263,293039,6517263,5194650,38.6,58.97,78.8,11.0,6.6,0.6,3.0
2050,ZAF,passenger_car,accelerated,17256367,2959871,2001035,1116401,6994563,307273,6994563,4960906,40.53,60.38,81.0,10.0,6.0,0.0,3.0
2025,ZAF,passenger_car,conservative,10015600,9016000,490000,98000,196000,0,196000,9506000,1.96,7.83,2.0,5.0,1.0,92.0,0.0
2026,ZAF,passenger_car,conservative,10235943,9015869,497396,100815,200294,0,200294,9513265,1.96,7.8,2.6,6.0,1.4,90.0,0.0
2027,ZAF,passenger_car,conservative,10461134,9015320,512004,106377,208777,0,208777,9527324,2.0,7.91,3.2,7.0,1.8,88.0,0.0
2028,ZAF,passenger_car,conservative,10691279,9014070,533663,114628,221361,0,221361,9547733,2.07,8.13,3.8,8.0,2.2,86.0,0.0
2029,ZAF,passenger_car,conservative,10926487,9011844,562233,125518,237964,0,237964,9574077,2.18,8.47,4.4,9.0,2.6,84.0,0.0
2030,ZAF,passenger_car,conservative,11166870,9008369,597594,139003,258522,0,258522,9605963,2.32,8.91,5.0,10.0,3.0,82.0,0.0
2031,ZAF,passenger_car,conservative,11412541,9000400,641134,156536,282976,0,282976,9641533,2.48,9.47,5.6,11.2,3.6,79.6,0.0
2032,ZAF,passenger_car,conservative,11663617,8987738,692735,178056,311283,0,311283,9680474,2.67,10.13,6.2,12.4,4.2,77.2,0.0
2033,ZAF,passenger_car,conservative,11920216,8970182,752303,203509,343406,0,343406,9722485,2.88,10.9,6.8,13.6,4.8,74.8,0.0
2034,ZAF,passenger_car,conservative,12182461,8947519,819762,232854,379319,0,379319,9767281,3.11,11.75,7.4,14.8,5.4,72.4,0.0
2035,ZAF,passenger_car,conservative,12450475,8919532,895058,266061,419004,0,419004,9814590,3.37,12.69,8.0,16.0,6.0,70.0,0.0
2036,ZAF,passenger_car,conservative,12724386,8884338,978153,301445,464113,1660,464113,9862491,3.65,13.72,8.8,17.2,6.4,67.4,0.2
2037,ZAF,passenger_car,conservative,13004322,8841742,1069028,339033,514608,4943,514608,9910771,3.96,14.82,9.6,18.4,6.8,64.8,0.4
2038,ZAF,passenger_car,conservative,13290417,8791539,1167683,378851,570464,9815,570464,9959222,4.29,16.0,10.4,19.6,7.2,62.2,0.6
2039,ZAF,passenger_car,conservative,13582806,8733509,1274131,420933,631669,16249,631669,10007640,4.65,17.25,11.2,20.8,7.6,59.6,0.8
2040,ZAF,passenger_car,conservative,13881628,8667421,1388404,465312,698220,24221,698220,10055825,5.03,18.56,12.0,22.0,8.0,57.0,1.0
2041,ZAF,passenger_car,conservative,14187024,8593034,1506844,512029,775681,31860,775681,10099878,5.47,19.92,13.4,22.8,8.4,54.4,1.0
2042,ZAF,passenger_car,conservative,14499139,8510090,1629597,561124,863948,39194,863948,10139687,5.96,21.34,14.8,23.6,8.8,51.8,1.0
2043,ZAF,passenger_car,conservative,14818120,8418322,1756810,612644,962942,46247,962942,10175132,6.5,22.8,16.2,24.4,9.2,49.2,1.0
2044,ZAF,passenger_car,conservative,15144118,8317451,1888634,666637,1072612,53043,1072612,10206084,7.08,24.31,17.6,25.2,9.6,46.6,1.0
