longitude,latitude,suitability_score,primary_source,hub_id,hub_radius_km,n_dc_fast_chargers,peak_power_mw,capex_usd,geometry
23.825,-27.395000000000003,0.9001013251437889,Solar,ZAF_HUB_0001,100.0,4,0.5,850000,POINT (23.825 -27.395000000000003)
23.475,-28.465000000000003,0.8988646558638851,Solar,ZAF_HUB_0002,100.0,4,0.5,850000,POINT (23.475 -28.465000000000003)
24.994999999999997,-31.325000000000003,0.8837107555585682,Wind,ZAF_HUB_0003,100.0,4,0.5,850000,POINT (24.994999999999997 -31.325000000000003)
24.244999999999997,-30.625,0.8835707901511449,Wind,ZAF_HUB_0004,100.0,4,0.5,850000,POINT (24.244999999999997 -30.625)
22.945,-30.205000000000002,0.8746113077748254,Solar,ZAF_HUB_0005,100.0,4,0.5,850000,POINT (22.945 -30.205000000000002)
26.525,-31.525000000000002,0.8728037998743663,Wind,ZAF_HUB_0006,100.0,4,0.5,850000,POINT (26.525 -31.525000000000002)
22.945,-27.595000000000002,0.8716497699948216,Solar,ZAF_HUB_0007,100.0,4,0.5,850000,POINT (22.945 -27.595000000000002)
22.205,-29.345000000000002,0.8644359085629632,Solar,ZAF_HUB_0008,100.0,4,0.5,850000,POINT (22.205 -29.345000000000002)
23.215,-31.725,0.8566330610836357,Wind,ZAF_HUB_0009,100.0,4,0.5,850000,POINT (23.215 -31.725)
23.125,-26.565,0.8516816917193939,Solar,ZAF_HUB_0010,100.0,4,0.5,850000,POINT (23.125 -26.565)
21.355,-28.495,0.8463267685056797,Solar,ZAF_HUB_0011,100.0,4,0.5,850000,POINT (21.355 -28.495)
27.485,-31.435000000000002,0.8463179205666609,Wind,ZAF_HUB_0012,100.0,4,0.5,850000,POINT (27.485 -31.435000000000002)
21.935,-30.935000000000002,0.8359725065735313,Solar,ZAF_HUB_0013,100.0,4,0.5,850000,POINT (21.935 -30.935000000000002)
23.905,-32.575,0.8358125125311605,Wind,ZAF_HUB_0014,100.0,4,0.5,850000,POINT (23.905 -32.575)
25.865000000000002,-32.625,0.8275205044515523,Wind,ZAF_HUB_0015,100.0,4,0.5,850000,POINT (25.865000000000002 -32.625)
21.314999999999998,-29.675000000000004,0.8259835540912266,Solar,ZAF_HUB_0016,100.0,4,0.5,850000,POINT (21.314999999999998 -29.675000000000004)
25.325,-33.895,0.8218785147531231,Wind,ZAF_HUB_0017,100.0,4,0.5,850000,POINT (25.325 -33.895)
29.365000000000002,-28.365000000000002,0.8200758058809401,Wind,ZAF_HUB_0018,100.0,4,0.5,850000,POINT (29.365000000000002 -28.365000000000002)
20.645,-26.935000000000002,0.8151135222529695,Solar,ZAF_HUB_0019,100.0,4,0.5,850000,POINT (20.645 -26.935000000000002)
22.415,-32.395,0.8137121855422149,Wind,ZAF_HUB_0020,100.0,4,0.5,850000,POINT (22.415 -32.395)
27.354999999999997,-33.30500000000001,0.8085756066760206,Wind,ZAF_HUB_0021,100.0,4,0.5,850000,POINT (27.354999999999997 -33.30500000000001)
20.275,-31.435000000000002,0.8037999652212731,Solar,ZAF_HUB_0022,100.0,4,0.5,850000,POINT (20.275 -31.435000000000002)
26.305,-33.635000000000005,0.8013734093019966,Wind,ZAF_HUB_0023,100.0,4,0.5,850000,POINT (26.305 -33.635000000000005)
20.165,-29.395000000000003,0.7941273564055561,Solar,ZAF_HUB_0024,100.0,4,0.5,850000,POINT (20.165 -29.395000000000003)
27.955,-32.625,0.7929562099623797,Wind,ZAF_HUB_0025,100.0,4,0.5,850000,POINT (27.955 -32.625)
19.575,-30.445,0.7858013152743881,Solar,ZAF_HUB_0026,100.0,4,0.5,850000,POINT (19.575 -30.445)
20.955,-32.875,0.7658449142460768,Wind,ZAF_HUB_0027,100.0,4,0.5,850000,POINT (20.955 -32.875)
19.175,-29.315,0.7554986843613418,Solar,ZAF_HUB_0028,100.0,4,0.5,850000,POINT (19.175 -29.315)
20.035,-34.765,0.7389876053103492,Wind,ZAF_HUB_0029,100.0,4,0.5,850000,POINT (20.035 -34.765)
19.325,-33.645,0.7343060496366132,Wind,ZAF_HUB_0030,100.0,4,0.5,850000,POINT (19.325 -33.645)
32.155,-28.395000000000003,0.7339988818081288,Wind,ZAF_HUB_0031,100.0,4,0.5,850000,POINT (32.155 -28.395000000000003)
18.195,-29.555000000000003,0.7219659327879429,Solar,ZAF_HUB_0032,100.0,4,0.5,850000,POINT (18.195 -29.555000000000003)
16.904999999999998,-28.375,0.6797709200279876,Wind,ZAF_HUB_0033,100.0,4,0.5,850000,POINT (16.904999999999998 -28.375)
